X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
11.0231,2.2740,11.0231,4.9684,11.0231,2.0264,11.0231,1.4343,11.0231,3.6890
11.0920,1.8418,11.0920,5.2752,11.0920,1.6566,11.0920,2.8727,11.0920,2.7055
11.1609,2.7938,11.1609,5.1429,11.1609,2.2919,11.1609,2.6465,11.1609,2.6330
11.2298,2.4802,11.2298,6.0472,11.2298,2.3200,11.2298,3.7500,11.2298,3.2510
11.2987,2.8489,11.2987,6.9568,11.2987,2.6675,11.2987,3.7181,11.2987,2.2379
11.3676,2.8271,11.3676,7.1179,11.3676,2.7797,11.3676,3.3100,11.3676,2.0852
11.4365,3.0132,11.4365,7.4369,11.4365,2.2523,11.4365,3.5444,11.4365,2.4359
11.5054,2.7628,11.5054,7.1146,11.5054,2.1370,11.5054,3.4513,11.5054,2.6362
11.5743,3.7296,11.5743,6.6664,11.5743,2.5543,11.5743,3.9792,11.5743,2.6492
11.6432,4.1236,11.6432,4.6695,11.6432,4.5179,11.6432,5.5745,11.6432,2.3798
11.7121,4.1590,11.7121,4.4319,11.7121,7.3084,11.7121,5.3675,11.7121,2.3395
11.7810,3.7484,11.7810,3.2636,11.7810,10.2802,11.7810,4.2476,11.7810,2.9245
11.8499,4.0775,11.8499,3.6612,11.8499,15.0808,11.8499,3.7369,11.8499,3.1769
11.9187,3.6120,11.9187,3.8331,11.9187,16.7011,11.9187,3.9771,11.9187,2.7218
11.9876,2.8513,11.9876,5.7848,11.9876,21.1656,11.9876,4.5174,11.9876,2.4139
12.0565,1.7171,12.0565,6.8222,12.0565,22.1205,12.0565,4.8182,12.0565,2.1870
12.1254,2.0172,12.1254,7.6275,12.1254,20.4480,12.1254,4.5531,12.1254,2.1789
12.1943,2.1826,12.1943,7.2191,12.1943,17.4492,12.1943,3.6280,12.1943,1.8188
12.2632,1.7709,12.2632,6.4900,12.2632,14.4248,12.2632,3.8442,12.2632,1.9581
12.3321,2.0990,12.3321,5.7793,12.3321,12.7035,12.3321,4.6402,12.3321,1.8244
12.4010,2.7343,12.4010,5.4522,12.4010,10.9565,12.4010,3.7893,12.4010,1.5150
12.4699,2.7331,12.4699,7.1830,12.4699,9.0785,12.4699,4.4911,12.4699,1.7416
12.5388,2.2251,12.5388,7.0908,12.5388,6.2328,12.5388,4.2891,12.5388,2.0074
12.6077,2.1303,12.6077,6.1759,12.6077,5.3570,12.6077,4.6369,12.6077,2.0063
12.6766,1.4603,12.6766,4.5818,12.6766,5.0244,12.6766,4.8310,12.6766,1.4105
12.7455,1.6412,12.7455,4.0007,12.7455,4.1506,12.7455,5.0685,12.7455,1.2476
12.8144,1.4865,12.8144,4.1301,12.8144,3.9039,12.8144,4.2068,12.8144,1.5965
12.8833,1.5644,12.8833,4.2004,12.8833,3.6811,12.8833,3.2763,12.8833,1.8852
12.9522,1.2235,12.9522,3.2566,12.9522,3.3898,12.9522,3.7105,12.9522,2.5994
13.0211,2.0754,13.0211,2.8879,13.0211,3.7612,13.0211,3.1500,13.0211,2.3951
13.0900,2.2834,13.0900,2.6459,13.0900,3.7135,13.0900,2.6116,13.0900,1.7065
13.1588,2.0942,13.1588,2.4612,13.1588,3.4285,13.1588,2.0121,13.1588,2.5707
13.2277,2.6931,13.2277,2.3628,13.2277,3.9934,13.2277,2.2400,13.2277,2.2769
13.2966,2.8416,13.2966,2.0622,13.2966,2.9044,13.2966,2.9452,13.2966,2.5156
13.3655,2.2723,13.3655,1.5747,13.3655,2.5887,13.3655,3.5795,13.3655,4.0446
13.4344,2.1566,13.4344,1.6120,13.4344,1.7672,13.4344,3.6344,13.4344,4.7239
13.5033,2.2296,13.5033,1.8918,13.5033,1.7740,13.5033,4.0380,13.5033,3.8050
13.5722,2.6458,13.5722,2.9993,13.5722,1.9077,13.5722,2.9027,13.5722,3.6119
13.6411,2.2841,13.6411,3.2111,13.6411,2.5386,13.6411,2.7901,13.6411,4.0463
13.7100,2.5568,13.7100,2.8567,13.7100,2.3323,13.7100,3.6810,13.7100,4.6110
13.7789,2.6694,13.7789,2.7430,13.7789,1.7686,13.7789,3.5503,13.7789,5.5269
13.8478,3.2083,13.8478,3.0553,13.8478,1.7939,13.8478,3.4534,13.8478,4.5194
13.9167,3.4789,13.9167,3.4998,13.9167,1.9209,13.9167,4.1199,13.9167,4.8382
13.9856,3.3615,13.9856,3.1481,13.9856,3.0610,13.9856,4.9477,13.9856,4.9640
14.0545,4.0622,14.0545,4.2265,14.0545,3.6422,14.0545,6.3008,14.0545,4.7382
14.1234,5.0055,14.1234,4.4666,14.1234,3.1232,14.1234,7.5815,14.1234,4.3788
14.1923,4.3560,14.1923,4.1711,14.1923,3.2466,14.1923,7.4581,14.1923,4.3022
14.2612,3.1162,14.2612,5.2208,14.2612,2.7105,14.2612,8.3228,14.2612,3.7337
14.3301,2.6030,14.3301,5.8051,14.3301,2.7272,14.3301,8.1692,14.3301,3.1588
14.3990,3.0483,14.3990,5.0601,14.3990,3.0409,14.3990,8.4155,14.3990,3.1565
14.4678,3.0842,14.4678,5.5763,14.4678,4.5168,14.4678,7.2979,14.4678,3.0889
14.5367,2.8705,14.5367,6.3734,14.5367,4.4849,14.5367,6.7118,14.5367,3.3588
14.6056,3.9907,14.6056,6.2070,14.6056,5.6395,14.6056,5.1440,14.6056,4.7504
14.6745,4.8524,14.6745,5.4857,14.6745,6.8000,14.6745,4.7746,14.6745,4.8085
14.7434,5.5913,14.7434,5.6546,14.7434,7.7845,14.7434,3.6845,14.7434,4.3392
14.8123,5.4207,14.8123,5.0827,14.8123,7.6478,14.8123,2.9883,14.8123,4.8596
14.8812,5.3829,14.8812,5.2026,14.8812,8.6913,14.8812,2.4687,14.8812,5.6814
14.9501,6.9962,14.9501,5.0385,14.9501,7.5558,14.9501,2.4215,14.9501,7.3997
15.0190,7.9635,15.0190,5.1181,15.0190,9.4275,15.0190,2.2011,15.0190,5.5137
15.0879,11.4871,15.0879,6.5553,15.0879,10.0175,15.0879,1.8178,15.0879,6.2825
15.1568,9.5234,15.1568,6.8364,15.1568,7.7722,15.1568,1.9932,15.1568,4.9318
15.2257,7.8635,15.2257,6.2240,15.2257,6.4086,15.2257,1.6102,15.2257,3.6860
15.2946,5.8295,15.2946,6.0381,15.2946,5.3107,15.2946,1.5389,15.2946,4.2244
