X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
7.1650,5.1742,7.1650,25.7948,7.1650,18.5062,7.1650,1.2639,7.1650,42.085
7.2339,4.0141,7.2339,22.9800,7.2339,18.3066,7.2339,1.5522,7.2339,71.480
7.3028,3.7501,7.3028,20.8905,7.3028,14.0613,7.3028,2.8098,7.3028,81.312
7.3717,3.3121,7.3717,35.1545,7.3717,12.1175,7.3717,2.7022,7.3717,75.960
7.4406,3.0383,7.4406,51.2112,7.4406,12.2003,7.4406,2.6570,7.4406,64.468
7.5095,1.2576,7.5095,56.8902,7.5095,10.9118,7.5095,5.7176,7.5095,56.439
7.5784,1.6645,7.5784,50.1336,7.5784,12.1218,7.5784,10.0649,7.5784,41.044
7.6473,3.3644,7.6473,44.2178,7.6473,13.3456,7.6473,11.8272,7.6473,31.187
7.7162,4.4352,7.7162,39.3180,7.7162,16.8282,7.7162,11.6712,7.7162,24.285
7.7851,3.7588,7.7851,42.2270,7.7851,15.2296,7.7851,10.3513,7.7851,14.618
7.8540,4.0343,7.8540,42.9741,7.8540,14.1188,7.8540,7.3916,7.8540,10.173
7.9229,1.4891,7.9229,35.6905,7.9229,10.8404,7.9229,4.5310,7.9229,5.494
7.9918,1.3211,7.9918,17.9569,7.9918,6.8860,7.9918,4.6741,7.9918,3.798
8.0607,1.8295,8.0607,7.3224,8.0607,5.1639,8.0607,2.1756,8.0607,3.152
8.1296,0.8931,8.1296,5.2328,8.1296,4.8499,8.1296,2.7933,8.1296,3.648
8.1984,2.2873,8.1984,6.0904,8.1984,4.3581,8.1984,4.2279,8.1984,4.490
8.2673,8.2409,8.2673,7.4402,8.2673,5.0647,8.2673,7.2413,8.2673,3.941
8.3362,6.7806,8.3362,4.9889,8.3362,7.4102,8.3362,13.2639,8.3362,2.580
8.4051,5.5265,8.4051,4.4556,8.4051,9.4139,8.4051,26.8110,8.4051,2.665
8.4740,9.9622,8.4740,4.3706,8.4740,11.6644,8.4740,50.6342,8.4740,3.340
8.5429,13.6992,8.5429,4.7833,8.5429,13.5510,8.5429,76.2021,8.5429,3.539
8.6118,14.5976,8.6118,4.6527,8.6118,17.6106,8.6118,86.7127,8.6118,3.990
8.6807,17.9479,8.6807,4.2655,8.6807,17.6849,8.6807,80.2033,8.6807,6.562
8.7496,18.1292,8.7496,5.9078,8.7496,18.0540,8.7496,62.9670,8.7496,8.228
8.8185,15.9566,8.8185,7.7345,8.8185,14.1334,8.8185,45.2989,8.8185,9.222
8.8874,16.3405,8.8874,9.7731,8.8874,11.9173,8.8874,33.9371,8.8874,10.837
8.9563,20.2499,8.9563,12.2217,8.9563,11.2234,8.9563,24.4958,8.9563,9.468
9.0252,31.1351,9.0252,11.2493,9.0252,8.8803,9.0252,17.5046,9.0252,6.961
9.0941,41.4109,9.0941,7.3897,9.0941,8.4391,9.0941,18.0060,9.0941,4.832
9.1630,46.0085,9.1630,5.1859,9.1630,6.6487,9.1630,17.0124,9.1630,4.103
9.2319,44.6219,9.2319,4.4848,9.2319,7.5292,9.2319,11.4182,9.2319,4.397
9.3008,39.0307,9.3008,4.2270,9.3008,13.6341,9.3008,7.1633,9.3008,4.557
9.3697,29.4879,9.3697,6.9203,9.3697,16.4565,9.3697,6.4198,9.3697,7.372
9.4385,18.5478,9.4385,7.1560,9.4385,17.1255,9.4385,5.4700,9.4385,8.671
9.5074,15.0771,9.5074,6.0255,9.5074,20.2555,9.5074,4.2873,9.5074,9.276
9.5763,13.2972,9.5763,5.6784,9.5763,24.4057,9.5763,3.8063,9.5763,9.417
9.6452,11.9028,9.6452,5.6235,9.6452,34.0208,9.6452,2.9415,9.6452,10.324
9.7141,10.9411,9.7141,4.5105,9.7141,45.2365,9.7141,1.8259,9.7141,11.592
9.7830,9.9654,9.7830,3.9165,9.7830,57.8694,9.7830,2.3923,9.7830,15.205
9.8519,7.2270,9.8519,2.9390,9.8519,61.8384,9.8519,2.1432,9.8519,14.052
9.9208,3.8477,9.9208,2.6329,9.9208,56.0089,9.9208,1.3072,9.9208,11.870
9.9897,2.4134,9.9897,1.6363,9.9897,41.7785,9.9897,1.2990,9.9897,8.806
10.0586,2.7333,10.0586,3.2349,10.0586,29.4362,10.0586,1.1205,10.0586,8.587
10.1275,3.3155,10.1275,3.4577,10.1275,21.3296,10.1275,1.6696,10.1275,8.923
10.1964,2.4583,10.1964,2.9339,10.1964,20.3353,10.1964,2.2954,10.1964,10.693
10.2653,1.8455,10.2653,5.2661,10.2653,23.1216,10.2653,1.4196,10.2653,14.727
10.3342,1.1839,10.3342,8.1192,10.3342,27.9903,10.3342,1.3322,10.3342,13.149
10.4031,1.0464,10.4031,8.8586,10.4031,32.0969,10.4031,1.4190,10.4031,13.615
10.4720,1.2442,10.4720,9.1096,10.4720,38.8833,10.4720,1.8232,10.4720,14.132
10.5409,1.3182,10.5409,5.8322,10.5409,35.4142,10.5409,1.9914,10.5409,14.086
10.6098,1.3807,10.6098,5.8488,10.6098,27.8426,10.6098,0.9402,10.6098,18.750
10.6786,1.4345,10.6786,5.2100,10.6786,17.1513,10.6786,1.5195,10.6786,17.494
10.7475,0.9194,10.7475,6.5690,10.7475,8.3061,10.7475,2.5343,10.7475,15.589
10.8164,1.6516,10.8164,6.4507,10.8164,5.5569,10.8164,4.4281,10.8164,12.211
10.8853,2.8763,10.8853,9.4588,10.8853,3.7770,10.8853,5.5375,10.8853,7.872
10.9542,2.7093,10.9542,8.3045,10.9542,3.2375,10.9542,6.4454,10.9542,4.803
11.0231,2.6328,11.0231,9.2695,11.0231,2.5421,11.0231,7.6117,11.0231,1.867
11.0920,3.4104,11.0920,9.0248,11.0920,1.4625,11.0920,6.8412,11.0920,2.476
11.1609,3.0574,11.1609,7.4266,11.1609,1.0708,11.1609,10.7578,11.1609,4.496
11.2298,3.2660,11.2298,8.0629,11.2298,1.0245,11.2298,12.5440,11.2298,7.180
11.2987,7.6444,11.2987,7.1219,11.2987,0.7618,11.2987,14.0394,11.2987,8.153
11.3676,9.8071,11.3676,5.2784,11.3676,1.2382,11.3676,14.7089,11.3676,10.276
11.4365,10.4162,11.4365,5.7129,11.4365,1.2556,11.4365,13.1204,11.4365,8.841
11.5054,9.3564,11.5054,4.9770,11.5054,0.7308,11.5054,11.3462,11.5054,6.139
11.5743,7.9256,11.5743,5.8502,11.5743,0.7450,11.5743,10.2141,11.5743,3.669
11.6432,8.7492,11.6432,8.2255,11.6432,0.7548,11.6432,8.7251,11.6432,2.862
11.7121,9.6368,11.7121,11.1912,11.7121,1.2633,11.7121,7.0480,11.7121,5.737
11.7810,9.1743,11.7810,12.6966,11.7810,1.4478,11.7810,8.9487,11.7810,10.214
11.8499,7.8951,11.8499,12.6547,11.8499,0.7797,11.8499,16.8848,11.8499,13.414
11.9187,5.8917,11.9187,8.5132,11.9187,1.1056,11.9187,20.3115,11.9187,18.073
11.9876,6.5542,11.9876,9.9549,11.9876,0.6741,11.9876,17.4103,11.9876,22.269
12.0565,10.6323,12.0565,11.5923,12.0565,1.1967,12.0565,9.5561,12.0565,24.245
12.1254,12.6801,12.1254,17.3854,12.1254,1.2084,12.1254,6.3018,12.1254,23.333
12.1943,15.0857,12.1943,16.9843,12.1943,0.9786,12.1943,4.8795,12.1943,17.929
12.2632,16.4716,12.2632,13.2475,12.2632,1.1337,12.2632,2.2984,12.2632,13.575
12.3321,19.2255,12.3321,9.0180,12.3321,1.1063,12.3321,2.5999,12.3321,13.530
12.4010,17.1519,12.4010,6.0390,12.4010,1.6938,12.4010,3.7110,12.4010,11.739
12.4699,16.2314,12.4699,3.3333,12.4699,2.7435,12.4699,6.7586,12.4699,10.312
12.5388,12.1491,12.5388,3.1880,12.5388,3.3208,12.5388,7.2278,12.5388,12.506
12.6077,11.0926,12.6077,3.9236,12.6077,4.7459,12.6077,10.6430,12.6077,13.256
12.6766,11.6047,12.6766,5.2837,12.6766,5.7436,12.6766,12.4403,12.6766,21.661
12.7455,12.2161,12.7455,4.5024,12.7455,5.9168,12.7455,16.4086,12.7455,33.027
12.8144,9.8716,12.8144,5.0215,12.8144,4.4807,12.8144,20.8981,12.8144,42.171
