X0,Y0,X1,Y1,X2,Y2,X3,Y3
9.2319,2.0602,9.2319,2.5950,9.2319,5.0123,9.2319,9.5432
9.3008,1.8665,9.3008,2.6275,9.3008,5.7275,9.3008,11.3854
9.3697,1.3545,9.3697,3.1858,9.3697,6.1639,9.3697,15.6934
9.4385,0.9018,9.4385,2.5304,9.4385,6.8721,9.4385,17.2903
9.5074,0.4171,9.5074,1.4026,9.5074,7.1936,9.5074,21.5246
9.5763,0.8220,9.5763,2.0498,9.5763,11.3695,9.5763,22.3670
9.6452,0.7295,9.6452,3.3032,9.6452,15.8179,9.6452,17.9546
9.7141,0.9263,9.7141,3.3440,9.7141,13.8443,9.7141,13.0592
9.7830,1.2395,9.7830,2.3761,9.7830,10.2060,9.7830,5.9765
9.8519,1.9625,9.8519,2.4028,9.8519,7.4513,9.8519,3.9061
9.9208,1.5427,9.9208,4.5634,9.9208,10.6082,9.9208,2.5743
9.9897,2.9296,9.9897,8.6386,9.9897,18.8181,9.9897,4.4126
10.0586,7.0252,10.0586,8.2946,10.0586,17.0268,10.0586,7.7642
10.1275,18.5813,10.1275,8.3060,10.1275,15.9549,10.1275,7.9285
10.1964,25.1311,10.1964,12.6379,10.1964,9.6483,10.1964,10.9270
10.2653,26.6131,10.2653,20.7649,10.2653,5.2739,10.2653,8.2136
10.3342,22.0162,10.3342,24.7678,10.3342,4.8303,10.3342,5.8702
10.4031,12.0244,10.4031,23.1512,10.4031,4.2298,10.4031,6.0302
10.4720,4.9244,10.4720,13.2947,10.4720,3.2977,10.4720,9.7872
10.5409,4.0863,10.5409,4.0724,10.5409,3.7815,10.5409,15.7252
10.6098,2.5909,10.6098,4.8616,10.6098,3.6021,10.6098,18.0299
10.6786,2.1966,10.6786,3.7772,10.6786,3.8417,10.6786,17.2329
10.7475,2.7471,10.7475,3.8729,10.7475,4.4100,10.7475,17.5303
10.8164,3.8376,10.8164,2.4964,10.8164,3.4265,10.8164,13.3052
10.8853,2.8551,10.8853,2.0712,10.8853,2.5194,10.8853,8.4308
10.9542,3.8337,10.9542,3.3745,10.9542,4.6229,10.9542,4.5724
11.0231,4.1275,11.0231,8.3850,11.0231,4.1678,11.0231,3.8549
11.0920,5.8915,11.0920,11.2638,11.0920,2.8544,11.0920,4.0566
11.1609,12.6759,11.1609,13.4074,11.1609,4.6233,11.1609,3.5141
11.2298,17.6746,11.2298,13.6073,11.2298,6.8753,11.2298,2.1828
11.2987,18.2703,11.2987,10.3848,11.2987,7.2354,11.2987,2.4792
11.3676,16.3601,11.3676,8.2997,11.3676,6.1690,11.3676,3.5306
11.4365,13.8085,11.4365,3.8721,11.4365,5.1316,11.4365,6.3869
11.5054,12.7549,11.5054,6.5507,11.5054,4.7586,11.5054,7.7368
11.5743,11.2951,11.5743,10.2228,11.5743,3.3683,11.5743,8.6038
11.6432,8.6613,11.6432,13.7440,11.6432,3.1956,11.6432,7.1592
11.7121,8.5941,11.7121,15.4663,11.7121,2.3436,11.7121,6.0499
11.7810,13.9563,11.7810,12.8539,11.7810,2.4439,11.7810,3.5291
11.8499,16.1532,11.8499,9.7535,11.8499,4.5966,11.8499,2.0860
11.9187,21.2914,11.9187,17.6411,11.9187,6.9600,11.9187,2.2552
11.9876,23.1181,11.9876,22.2962,11.9876,9.1867,11.9876,3.4767
