X0,Y0,X1,Y1,X2,Y2
14.606,0.37941,14.6056,1.37006,14.6056,4.29383
14.675,0.90286,14.6745,1.51422,14.6745,4.16507
14.743,0.99724,14.7434,1.10634,14.7434,3.68435
14.812,0.98262,14.8123,1.98960,14.8123,2.15351
14.881,0.98684,14.8812,1.96429,14.8812,1.93666
14.950,1.06519,14.9501,1.81115,14.9501,1.75994
15.019,1.17455,15.0190,2.19036,15.0190,1.27162
15.088,1.06629,15.0879,2.18337,15.0879,0.97956
15.157,2.27931,15.1568,2.13703,15.1568,0.90454
15.226,2.21092,15.2257,1.94263,15.2257,0.85297
15.295,1.73241,15.2946,1.53804,15.2946,1.02390
15.363,2.00811,15.3635,1.80633,15.3635,0.61967
15.432,1.32202,15.4324,1.92965,15.4324,0.49729
15.501,1.61178,15.5013,1.59787,15.5013,1.12283
15.570,1.73841,15.5702,1.83167,15.5702,1.01648
15.639,1.76981,15.6391,2.53209,15.6391,1.06473
15.708,2.68055,15.7079,2.30557,15.7079,1.17318
15.777,3.48358,15.7768,1.80313,15.7768,1.86560
15.846,3.83481,15.8457,2.21469,15.8457,1.57186
15.915,2.99792,15.9146,1.65106,15.9146,1.44696
15.984,3.04159,15.9835,1.48036,15.9835,1.32646
16.052,2.54111,16.0524,2.12431,16.0524,2.05184
16.121,1.25034,16.1213,2.72597,16.1213,2.58417
16.190,1.41956,16.1902,1.86992,16.1902,1.95717
16.259,0.96608,16.2591,2.12378,16.2591,2.09702
16.328,1.00498,16.3280,2.28713,16.3280,2.40968
16.397,1.03521,16.3969,2.42221,16.3969,2.09518
16.466,1.06250,16.4658,2.50019,16.4658,2.78075
16.535,0.93949,16.5347,2.19898,16.5347,3.13534
16.604,0.92056,16.6036,2.03979,16.6036,3.40664
16.672,1.23447,16.6725,2.30548,16.6725,3.45080
16.741,1.07831,16.7414,2.04405,16.7414,3.82452
16.810,1.51825,16.8103,2.15699,16.8103,3.54793
16.879,2.00568,16.8792,2.13754,16.8792,2.53826
16.948,2.00640,16.9480,2.69668,16.9480,1.61987
17.017,0.93069,17.0169,2.93597,17.0169,1.74829
17.086,1.15731,17.0858,2.34071,17.0858,2.09570
17.155,0.67895,17.1547,1.89219,17.1547,1.71059
17.224,0.90898,17.2236,2.04003,17.2236,2.35373
17.293,1.27543,17.2925,2.47523,17.2925,2.64671
17.361,1.68883,17.3614,2.22410,17.3614,2.21808
17.430,1.57563,17.4303,1.75273,17.4303,2.26445
17.499,1.47167,17.4992,2.07162,17.4992,3.59514
17.568,2.01458,17.5681,3.33927,17.5681,4.01290
17.637,2.09430,17.6370,2.49121,17.6370,3.06743
17.706,1.39511,17.7059,2.33540,17.7059,3.07121
17.775,1.14411,17.7748,2.21790,17.7748,2.98109
17.844,0.57825,17.8437,2.30672,17.8437,2.69188
17.913,0.61636,17.9126,2.94945,17.9126,2.22632
17.981,1.12449,17.9815,3.37403,17.9815,1.17464
18.050,1.13020,18.0504,3.91829,18.0504,1.45469
18.119,0.96969,18.1193,2.03444,18.1193,1.39608
18.188,0.81333,18.1881,2.27270,18.1881,1.48423
18.257,1.07208,18.2570,2.50265,18.2570,1.61037
18.326,0.97330,18.3259,2.70739,18.3259,2.07213
18.395,1.00530,18.3948,4.26637,18.3948,1.35607
18.464,1.02126,18.4637,4.57438,18.4637,1.39089
18.533,0.69932,18.5326,3.75507,18.5326,1.65331
