X0,Y0,X1,Y1,X2,Y2,X3,Y3
9.9897,3.51330,9.9897,1.08325,9.9897,1.83346,9.9897,2.72601
10.0586,3.13800,10.0586,1.08551,10.0586,2.81771,10.0586,2.35579
10.1275,3.21769,10.1275,1.19771,10.1275,3.45841,10.1275,3.16769
10.1964,3.77428,10.1964,0.97862,10.1964,5.15068,10.1964,3.44194
10.2653,2.47779,10.2653,0.90928,10.2653,3.91530,10.2653,2.64341
10.3342,2.09931,10.3342,1.52973,10.3342,3.65029,10.3342,2.87705
10.4031,2.04888,10.4031,1.43357,10.4031,3.58884,10.4031,2.54124
10.4720,2.53953,10.4720,1.47646,10.4720,3.23000,10.4720,3.27329
10.5409,3.03660,10.5409,1.67887,10.5409,3.28512,10.5409,2.96626
10.6098,3.74102,10.6098,1.07375,10.6098,3.16599,10.6098,2.19457
10.6786,3.57114,10.6786,1.29432,10.6786,2.41201,10.6786,3.36873
10.7475,3.27738,10.7475,1.15545,10.7475,2.09141,10.7475,3.17903
10.8164,3.46648,10.8164,1.03301,10.8164,1.54535,10.8164,1.95504
10.8853,2.31816,10.8853,1.58449,10.8853,1.67312,10.8853,1.77374
10.9542,2.11787,10.9542,1.86332,10.9542,1.91342,10.9542,2.66138
11.0231,2.14551,11.0231,1.33212,11.0231,1.29313,11.0231,1.65879
11.0920,2.16644,11.0920,1.75284,11.0920,1.54197,11.0920,1.43047
11.1609,1.85498,11.1609,1.95538,11.1609,2.29119,11.1609,1.49493
11.2298,1.56267,11.2298,1.67656,11.2298,2.26171,11.2298,1.07401
11.2987,1.74198,11.2987,2.64870,11.2987,2.95203,11.2987,0.61767
11.3676,1.67369,11.3676,3.14419,11.3676,3.08660,11.3676,0.78510
11.4365,1.92244,11.4365,4.20339,11.4365,2.64775,11.4365,1.24495
11.5054,2.25342,11.5054,4.38480,11.5054,2.06352,11.5054,1.30525
11.5743,2.50173,11.5743,3.65042,11.5743,2.55011,11.5743,1.24778
11.6432,3.21072,11.6432,2.48002,11.6432,1.86508,11.6432,2.52445
11.7121,2.49997,11.7121,1.72711,11.7121,2.12218,11.7121,3.00400
11.7810,2.79600,11.7810,1.56114,11.7810,2.32259,11.7810,2.62712
11.8499,3.38882,11.8499,1.05003,11.8499,2.21884,11.8499,1.31020
11.9187,3.36045,11.9187,0.90221,11.9187,1.65377,11.9187,1.23999
11.9876,3.74557,11.9876,1.03111,11.9876,1.72682,11.9876,1.59989
12.0565,3.97457,12.0565,0.58461,12.0565,1.79162,12.0565,1.28879
12.1254,3.71379,12.1254,0.58733,12.1254,2.17840,12.1254,1.17624
12.1943,4.02702,12.1943,1.20131,12.1943,2.04664,12.1943,1.10751
12.2632,4.70879,12.2632,0.97599,12.2632,2.43285,12.2632,1.96292
12.3321,4.04840,12.3321,0.77045,12.3321,2.22957,12.3321,1.52067
12.4010,2.78377,12.4010,0.72764,12.4010,1.84816,12.4010,1.44515
12.4699,3.22580,12.4699,0.24663,12.4699,2.47546,12.4699,1.21353
12.5388,3.83660,12.5388,0.59080,12.5388,2.58875,12.5388,1.40312
12.6077,4.28091,12.6077,0.34182,12.6077,2.85306,12.6077,1.01091
12.6766,3.40056,12.6766,0.77733,12.6766,2.03736,12.6766,0.63424
12.7455,1.93917,12.7455,1.03032,12.7455,2.44946,12.7455,0.71067
12.8144,1.68277,12.8144,0.96568,12.8144,3.04525,12.8144,0.81657
12.8833,1.30361,12.8833,1.24942,12.8833,4.18933,12.8833,1.29940
12.9522,1.29148,12.9522,1.03948,12.9522,4.12604,12.9522,0.95046
13.0211,1.79383,13.0211,1.49136,13.0211,3.93452,13.0211,1.79904
13.0900,0.99307,13.0900,1.61026,13.0900,3.55493,13.0900,1.40784
13.1588,1.08532,13.1588,1.26626,13.1588,4.04094,13.1588,1.13828
13.2277,1.41086,13.2277,1.40795,13.2277,3.91264,13.2277,1.53991
13.2966,1.34102,13.2966,1.51771,13.2966,2.95887,13.2966,1.29350
13.3655,1.40299,13.3655,1.68495,13.3655,1.52050,13.3655,1.64553
13.4344,1.61222,13.4344,2.19984,13.4344,0.58050,13.4344,2.21015
13.5033,2.02360,13.5033,1.92293,13.5033,0.92903,13.5033,2.50591
13.5722,1.52945,13.5722,1.87109,13.5722,1.04603,13.5722,3.37115
13.6411,1.49165,13.6411,2.45238,13.6411,1.03335,13.6411,3.40064
13.7100,1.24683,13.7100,1.86943,13.7100,1.07718,13.7100,3.01869
13.7789,1.02644,13.7789,2.23046,13.7789,1.30085,13.7789,2.96355
13.8478,1.56726,13.8478,2.07044,13.8478,1.04638,13.8478,4.58984
13.9167,1.45320,13.9167,2.39152,13.9167,0.88238,13.9167,4.14555
13.9856,1.32085,13.9856,2.10197,13.9856,1.20052,13.9856,3.85104
14.0545,1.30561,14.0545,2.73196,14.0545,0.97302,14.0545,3.68526
14.1234,0.84666,14.1234,2.21936,14.1234,1.30759,14.1234,3.01034
14.1923,1.14774,14.1923,1.99293,14.1923,1.09238,14.1923,2.06803
14.2612,1.65590,14.2612,1.77942,14.2612,1.10743,14.2612,2.48462
14.3301,1.13617,14.3301,1.79759,14.3301,1.71894,14.3301,2.50262
14.3990,0.99954,14.3990,1.38610,14.3990,1.42567,14.3990,1.99019
14.4678,1.48999,14.4678,1.87037,14.4678,1.44856,14.4678,1.89834
14.5367,1.81774,14.5367,2.02248,14.5367,1.57033,14.5367,1.51412
14.6056,1.59053,14.6056,2.45925,14.6056,1.89335,14.6056,1.45555
14.6745,0.61653,14.6745,3.00725,14.6745,2.29728,14.6745,1.53010
14.7434,0.96738,14.7434,2.18138,14.7434,1.59218,14.7434,2.33228
14.8123,1.04353,14.8123,2.60213,14.8123,2.03263,14.8123,2.41021
14.8812,0.79394,14.8812,2.81032,14.8812,2.57168,14.8812,2.38561
14.9501,1.11660,14.9501,4.04894,14.9501,2.48647,14.9501,3.00698
15.0190,1.50003,15.0190,4.15325,15.0190,2.28265,15.0190,1.96470
15.0879,1.08800,15.0879,4.12687,15.0879,2.16431,15.0879,2.03488
15.1568,1.05398,15.1568,4.43892,15.1568,2.76983,15.1568,1.99794
15.2257,1.19543,15.2257,3.35352,15.2257,1.83308,15.2257,1.71823
15.2946,0.96685,15.2946,3.94029,15.2946,1.38074,15.2946,1.14067
15.3635,1.21325,15.3635,2.81677,15.3635,0.68113,15.3635,1.38201
15.4324,1.07791,15.4324,3.12984,15.4324,0.98497,15.4324,1.25540
15.5013,1.23009,15.5013,3.39659,15.5013,0.61756,15.5013,1.05359
15.5702,1.63587,15.5702,2.79604,15.5702,0.83470,15.5702,1.16406
15.6391,1.09667,15.6391,2.76653,15.6391,0.55674,15.6391,1.11944
15.7079,1.02428,15.7079,2.28892,15.7079,0.49782,15.7079,1.35473
15.7768,1.23585,15.7768,1.79055,15.7768,0.58840,15.7768,0.99156
15.8457,0.90700,15.8457,1.84375,15.8457,1.13729,15.8457,1.29524
15.9146,1.20353,15.9146,1.89842,15.9146,0.92098,15.9146,0.92565
15.9835,1.47729,15.9835,1.55365,15.9835,0.95403,15.9835,0.95766
16.0524,1.14580,16.0524,1.04272,16.0524,0.96112,16.0524,1.72310
16.1213,0.83666,16.1213,1.10461,16.1213,0.85500,16.1213,2.05206
16.1902,1.19900,16.1902,1.02808,16.1902,1.14135,16.1902,1.47610
16.2591,1.45622,16.2591,1.16732,16.2591,1.01019,16.2591,1.11709
16.3280,2.19978,16.3280,1.08034,16.3280,0.75540,16.3280,1.17073
16.3969,1.75316,16.3969,1.16007,16.3969,0.75073,16.3969,0.64554
16.4658,2.29286,16.4658,1.08546,16.4658,0.96655,16.4658,1.07411
16.5347,3.45639,16.5347,0.69461,16.5347,0.86357,16.5347,0.78294
16.6036,3.87186,16.6036,0.69122,16.6036,1.36440,16.6036,0.79224
16.6725,3.99000,16.6725,0.75316,16.6725,1.25529,16.6725,0.59315
16.7414,4.39157,16.7414,1.02916,16.7414,0.76540,16.7414,1.18656
16.8103,3.17276,16.8103,1.37271,16.8103,1.34561,16.8103,1.70320
16.8792,2.12573,16.8792,0.94001,16.8792,0.93876,16.8792,1.27393
16.9480,2.25420,16.9480,1.05813,16.9480,1.16396,16.9480,0.88373
17.0169,2.76333,17.0169,1.94381,17.0169,0.57048,17.0169,0.98690
17.0858,2.54307,17.0858,1.92389,17.0858,0.67403,17.0858,1.44589
17.1547,2.41181,17.1547,1.98339,17.1547,0.84981,17.1547,2.39537
17.2236,1.86239,17.2236,1.32702,17.2236,0.74410,17.2236,1.66818
17.2925,1.67372,17.2925,0.94528,17.2925,0.74367,17.2925,1.97543
17.3614,1.82945,17.3614,0.89580,17.3614,1.26885,17.3614,1.77195
17.4303,2.14844,17.4303,1.32088,17.4303,1.55847,17.4303,1.68393
17.4992,1.67047,17.4992,1.97373,17.4992,2.60826,17.4992,1.83040
17.5681,1.67438,17.5681,2.74285,17.5681,4.33236,17.5681,1.91595
17.6370,1.46947,17.6370,2.96884,17.6370,6.33475,17.6370,2.12922
17.7059,0.98669,17.7059,2.53691,17.7059,7.06750,17.7059,2.03674
17.7748,0.51364,17.7748,3.17590,17.7748,5.62112,17.7748,1.50306
