X0,Y0,X1,Y1,X2,Y2
12.194,16.7146,12.1943,17.3221,12.1943,1.7287
12.263,21.4651,12.2632,24.5099,12.2632,1.1849
12.332,17.9659,12.3321,23.0360,12.3321,0.7821
12.401,11.4078,12.4010,22.8814,12.4010,1.5720
12.470,10.4180,12.4699,19.6188,12.4699,2.5783
12.539,8.4797,12.5388,24.4290,12.5388,3.5141
12.608,9.7590,12.6077,25.5651,12.6077,3.9325
12.677,9.3132,12.6766,20.3810,12.6766,3.1473
12.745,8.5234,12.7455,15.5712,12.7455,1.9439
12.814,10.4491,12.8144,14.8175,12.8144,1.6688
12.883,12.3553,12.8833,14.7652,12.8833,1.3970
12.952,15.0692,12.9522,11.7314,12.9522,1.0250
13.021,12.9935,13.0211,7.4913,13.0211,1.1429
13.090,16.9469,13.0900,6.9554,13.0900,2.2443
13.159,15.7215,13.1588,7.7521,13.1588,4.1373
13.228,16.1876,13.2277,9.1840,13.2277,3.3421
13.297,21.1246,13.2966,12.3877,13.2966,3.8970
13.366,22.5188,13.3655,13.6648,13.3655,3.6794
13.434,19.4488,13.4344,12.9394,13.4344,2.7312
13.503,13.1716,13.5033,7.6462,13.5033,1.7976
13.572,7.7705,13.5722,4.9288,13.5722,1.1965
13.641,5.0418,13.6411,3.9986,13.6411,0.8811
13.710,3.4733,13.7100,3.2558,13.7100,1.4221
13.779,3.1322,13.7789,3.2980,13.7789,0.5805
13.848,3.7485,13.8478,4.2568,13.8478,2.5790
13.917,5.6539,13.9167,7.5274,13.9167,2.7557
13.986,7.8821,13.9856,8.0251,13.9856,3.8024
14.054,7.0366,14.0545,8.5386,14.0545,5.5174
14.123,6.4369,14.1234,8.3865,14.1234,7.5150
14.192,4.2185,14.1923,5.3029,14.1923,6.8649
14.261,2.4334,14.2612,3.7109,14.2612,7.3280
14.330,2.2374,14.3301,3.0635,14.3301,8.3421
14.399,2.2470,14.3990,2.5211,14.3990,7.8398
14.468,2.9072,14.4678,3.1271,14.4678,13.2546
14.537,2.1860,14.5367,2.1944,14.5367,21.8960
14.606,1.6424,14.6056,2.5611,14.6056,21.9669
14.675,1.8655,14.6745,4.0134,14.6745,21.2704
14.743,2.1765,14.7434,5.0524,14.7434,17.2512
14.812,1.6752,14.8123,6.7138,14.8123,11.6161
14.881,1.8340,14.8812,6.8878,14.8812,9.7348
14.950,2.5796,14.9501,5.8306,14.9501,10.2963
15.019,4.0705,15.0190,5.6645,15.0190,8.1068
15.088,5.7264,15.0879,5.4119,15.0879,4.9744
15.157,6.7091,15.1568,6.6427,15.1568,3.7204
15.226,6.4510,15.2257,6.1524,15.2257,3.6804
15.295,7.4592,15.2946,3.7237,15.2946,5.2569
