Distance_(microns),Value,X1,Y1,X2,Y2
11.9187,0.7294,11.9187,5.7662,11.9187,0.7237
11.9876,1.0831,11.9876,4.5926,11.9876,1.2777
12.0565,1.8221,12.0565,4.5261,12.0565,1.3414
12.1254,3.6146,12.1254,3.5126,12.1254,1.0376
12.1943,4.1942,12.1943,3.9019,12.1943,0.7177
12.2632,6.7268,12.2632,4.1060,12.2632,0.9077
12.3321,7.5751,12.3321,4.2030,12.3321,0.7362
12.4010,5.8703,12.4010,4.3067,12.4010,0.6918
12.4699,3.8315,12.4699,3.9668,12.4699,0.9082
12.5388,3.4747,12.5388,3.3583,12.5388,0.8610
12.6077,2.0954,12.6077,3.0861,12.6077,0.9570
12.6766,1.7666,12.6766,2.9787,12.6766,0.9767
12.7455,1.6839,12.7455,2.9994,12.7455,0.3589
12.8144,1.8172,12.8144,2.0666,12.8144,0.8297
12.8833,2.6762,12.8833,2.7753,12.8833,0.5047
12.9522,4.0252,12.9522,3.3441,12.9522,0.3972
13.0211,3.4034,13.0211,3.4713,13.0211,0.6433
13.0900,2.7820,13.0900,3.1659,13.0900,0.9051
13.1588,3.3427,13.1588,3.3668,13.1588,1.0097
13.2277,4.1077,13.2277,2.8151,13.2277,1.1537
13.2966,3.5954,13.2966,2.3263,13.2966,1.3062
13.3655,2.8159,13.3655,2.0210,13.3655,1.7025
13.4344,3.4906,13.4344,1.8925,13.4344,2.3793
13.5033,3.6870,13.5033,1.8839,13.5033,2.2896
13.5722,4.4418,13.5722,1.1120,13.5722,2.2981
13.6411,3.9530,13.6411,1.1911,13.6411,1.7746
13.7100,3.8485,13.7100,1.4116,13.7100,1.6424
13.7789,3.9392,13.7789,1.0139,13.7789,1.4549
13.8478,4.9333,13.8478,1.1118,13.8478,1.4092
13.9167,5.9346,13.9167,1.2290,13.9167,2.0904
13.9856,7.0036,13.9856,1.5816,13.9856,1.7801
14.0545,5.6368,14.0545,1.4455,14.0545,2.3842
14.1234,4.6216,14.1234,1.6990,14.1234,2.2764
14.1923,3.9250,14.1923,1.2643,14.1923,1.6870
14.2612,2.5975,14.2612,1.8928,14.2612,1.6026
14.3301,2.1601,14.3301,1.4870,14.3301,1.7196
14.3989,2.5543,14.3989,1.9177,14.3989,1.8786
14.4678,2.7438,14.4678,1.7179,14.4678,2.2721
14.5367,2.8949,14.5367,2.1961,14.5367,2.3276
14.6056,2.2409,14.6056,2.7707,14.6056,2.1012
14.6745,2.7896,14.6745,3.3655,14.6745,1.8327
14.7434,2.9290,14.7434,3.6551,14.7434,2.1568
14.8123,3.1083,14.8123,2.9308,14.8123,2.1955
14.8812,3.3537,14.8812,3.3115,14.8812,1.5111
14.9501,2.8001,14.9501,3.0577,14.9501,2.2087
15.0190,3.3108,15.0190,2.6436,15.0190,2.2915
15.0879,2.5521,15.0879,2.5098,15.0879,1.9635
15.1568,2.6796,15.1568,3.5154,15.1568,1.9175
15.2257,2.6044,15.2257,3.3598,15.2257,2.2879
15.2946,2.0604,15.2946,2.3708,15.2946,1.7931
15.3635,0.7968,15.3635,2.1004,15.3635,1.8441
15.4324,0.8791,15.4324,1.9405,15.4324,1.8640
15.5013,1.2386,15.5013,2.3492,15.5013,1.7681
15.5702,0.7177,15.5702,1.9927,15.5702,2.3719
15.6391,0.4724,15.6391,1.9645,15.6391,1.6243
15.7079,0.2465,15.7079,2.2487,15.7079,1.1666
15.7768,0.7611,15.7768,3.1766,15.7768,1.0673
15.8457,0.5382,15.8457,3.4990,15.8457,1.2198
15.9146,0.5800,15.9146,3.4698,15.9146,1.2098
15.9835,0.6631,15.9835,3.9619,15.9835,1.0602
16.0524,1.3076,16.0524,3.9923,16.0524,1.4189
16.1213,1.7964,16.1213,4.8149,16.1213,1.9705
16.1902,1.9880,16.1902,6.7787,16.1902,2.3022
16.2591,2.1838,16.2591,6.8012,16.2591,2.2332
16.3280,2.1871,16.3280,6.6823,16.3280,2.4674
16.3969,2.0625,16.3969,5.2471,16.3969,4.0004
16.4658,2.0764,16.4658,3.6404,16.4658,3.4573
16.5347,2.3174,16.5347,2.3384,16.5347,3.2052
16.6036,2.3161,16.6036,2.0773,16.6036,3.0455
16.6725,2.7723,16.6725,1.2384,16.6725,3.6926
16.7414,2.2524,16.7414,1.0660,16.7414,2.8178
16.8103,2.8314,16.8103,1.3938,16.8103,1.5918
16.8792,3.2501,16.8792,1.8881,16.8792,1.5080
16.9480,2.7052,16.9480,1.3095,16.9480,2.1104
17.0169,3.5844,17.0169,0.7618,17.0169,2.1559
17.0858,3.3301,17.0858,0.6994,17.0858,2.1003
17.1547,3.2594,17.1547,0.9359,17.1547,1.7433
17.2236,3.4219,17.2236,1.0483,17.2236,1.4973
17.2925,3.4151,17.2925,1.2138,17.2925,1.3494
17.3614,3.2005,17.3614,0.5489,17.3614,1.3823
17.4303,2.8930,17.4303,1.1330,17.4303,1.4821
17.4992,2.5414,17.4992,1.4531,17.4992,1.5248
17.5681,3.6825,17.5681,1.3998,17.5681,0.8451
17.6370,5.2198,17.6370,1.2716,17.6370,1.2188
17.7059,6.4971,17.7059,1.0295,17.7059,1.0412
17.7748,5.6857,17.7748,1.6425,17.7748,1.5713
17.8437,4.8058,17.8437,1.5982,17.8437,1.5266
17.9126,3.5832,17.9126,2.2210,17.9126,1.4194
17.9815,2.4358,17.9815,2.3316,17.9815,1.7641
18.0504,2.0807,18.0504,2.5041,18.0504,1.6934
18.1193,2.1253,18.1193,2.4265,18.1193,1.8064
18.1881,2.0021,18.1881,2.7323,18.1881,1.8007
18.2570,1.9639,18.2570,2.3494,18.2570,1.0123
18.3259,3.1477,18.3259,2.1600,18.3259,0.8784
18.3948,3.8247,18.3948,2.2140,18.3948,1.0433
18.4637,3.5734,18.4637,1.8131,18.4637,1.2573
18.5326,3.6127,18.5326,1.4274,18.5326,1.2849
18.6015,2.4118,18.6015,1.5444,18.6015,2.8011
18.6704,2.3957,18.6704,2.4919,18.6704,3.3193
18.7393,2.2790,18.7393,3.7130,18.7393,2.5720
18.8082,1.9735,18.8082,3.6121,18.8082,3.1826
18.8771,1.8398,18.8771,2.9858,18.8771,1.8220
18.9460,1.7674,18.9460,3.3229,18.9460,2.0587
19.0149,1.6532,19.0149,3.8392,19.0149,2.6472
19.0838,1.4781,19.0838,3.6729,19.0838,2.7647
19.1527,1.1270,19.1527,2.8144,19.1527,3.1994
19.2216,1.0635,19.2216,2.6385,19.2216,4.6452
19.2905,1.4514,19.2905,2.7330,19.2905,5.2837
19.3594,1.4305,19.3594,2.6243,19.3594,4.6537
19.4282,1.5336,19.4282,2.3997,19.4282,3.9217
19.4971,1.4992,19.4971,2.2177,19.4971,2.8614
19.5660,1.6929,19.5660,2.3868,19.5660,2.8411
19.6349,2.1946,19.6349,1.7909,19.6349,2.6519
19.7038,1.6324,19.7038,1.6446,19.7038,2.9702
19.7727,0.8084,19.7727,2.1853,19.7727,3.2343
19.8416,0.8067,19.8416,1.9988,19.8416,2.7673
19.9105,1.3866,19.9105,1.4425,19.9105,1.8750
19.9794,1.8333,19.9794,1.4543,19.9794,1.5723
20.0483,2.1636,20.0483,1.7372,20.0483,1.9424
20.1172,2.0628,20.1172,2.4445,20.1172,1.9539
20.1861,2.1815,20.1861,2.9683,20.1861,3.0602
20.2550,2.9289,20.2550,2.2560,20.2550,3.0033
20.3239,4.8170,20.3239,1.9406,20.3239,2.3287
20.3928,5.6669,20.3928,3.0162,20.3928,2.4922
20.4617,4.0018,20.4617,2.9742,20.4617,2.4693
20.5306,4.1712,20.5306,3.2133,20.5306,1.9840
20.5995,3.3701,20.5995,4.0593,20.5995,1.2867
20.6683,2.8830,20.6683,3.5519,20.6683,1.2565
20.7372,2.1489,20.7372,3.3456,20.7372,0.9073
20.8061,1.8351,20.8061,2.8561,20.8061,1.3998
20.8750,1.7315,20.8750,1.7844,20.8750,0.9976
20.9439,1.4637,20.9439,1.2132,20.9439,1.0035
21.0128,1.8377,21.0128,1.2289,21.0128,0.6977
21.0817,2.5516,21.0817,1.2747,21.0817,0.6435
21.1506,1.5866,21.1506,1.4099,21.1506,0.9736
21.2195,2.1151,21.2195,1.3700,21.2195,1.5143
21.2884,2.0505,21.2884,2.6192,21.2884,1.6187
21.3573,2.2381,21.3573,3.3955,21.3573,1.9370
21.4262,2.8257,21.4262,3.4585,21.4262,2.0717
21.4951,3.1496,21.4951,3.7674,21.4951,2.7392
21.5640,3.5299,21.5640,4.3903,21.5640,2.6881
21.6329,3.4746,21.6329,5.3910,21.6329,2.8629
21.7018,2.5095,21.7018,5.9345,21.7018,2.1477
21.7707,2.6888,21.7707,6.9366,21.7707,1.8127
21.8396,1.4523,21.8396,8.3116,21.8396,2.4526
21.9084,0.9955,21.9084,10.1872,21.9084,2.4929
21.9773,1.1442,21.9773,9.8754,21.9773,2.1134
22.0462,1.1789,22.0462,8.1586,22.0462,2.7730
22.1151,1.1324,22.1151,6.4110,22.1151,2.0377
22.1840,0.8888,22.1840,6.1287,22.1840,2.0444
22.2529,1.1761,22.2529,5.4300,22.2529,2.0780
22.3218,2.0185,22.3218,4.8991,22.3218,2.5004
22.3907,2.7229,22.3907,3.3523,22.3907,2.9190
22.4596,2.9703,22.4596,2.2503,22.4596,2.2552
22.5285,2.3770,22.5285,2.1589,22.5285,3.6948
22.5974,2.2651,22.5974,1.7260,22.5974,3.9237
22.6663,1.5587,22.6663,1.4940,22.6663,3.5335
22.7352,1.0774,22.7352,2.7043,22.7352,2.7860
22.8041,1.5368,22.8041,3.2261,22.8041,3.0444
22.8730,1.7398,22.8730,3.1632,22.8730,2.6028
22.9419,2.1347,22.9419,3.1727,22.9419,1.7849
23.0108,2.2694,23.0108,2.7152,23.0108,1.5342
23.0797,2.4909,23.0797,2.2196,23.0797,2.0790
23.1486,2.4883,23.1486,2.0961,23.1486,2.3617
23.2174,3.0728,23.2174,2.3299,23.2174,2.2935
23.2863,2.1659,23.2863,2.8558,23.2863,2.2733
23.3552,1.7538,23.3552,2.1853,23.3552,1.8840
23.4241,0.9714,23.4241,2.2303,23.4241,2.2563
23.4930,0.9602,23.4930,2.7258,23.4930,2.2600
23.5619,1.5004,23.5619,2.8299,23.5619,2.8385
23.6308,1.6092,23.6308,2.4645,23.6308,2.1256
23.6997,1.7601,23.6997,1.8479,23.6997,1.7447
23.7686,2.3055,23.7686,2.8843,23.7686,1.7710
23.8375,3.9242,23.8375,2.8861,23.8375,1.8710
23.9064,6.3601,23.9064,2.6873,23.9064,2.1690
23.9753,8.4436,23.9753,2.5647,23.9753,2.9934
24.0442,7.9751,24.0442,2.2135,24.0442,2.8511
24.1131,6.5736,24.1131,2.4358,24.1131,2.8063
24.1820,5.7781,24.1820,2.1396,24.1820,2.5216
24.2509,4.9569,24.2509,2.2142,24.2509,3.0323
24.3198,4.3001,24.3198,1.7907,24.3198,4.0243
24.3887,3.8836,24.3887,1.6092,24.3887,4.4863
24.4575,2.9975,24.4575,1.8848,24.4575,5.0883
24.5264,2.4930,24.5264,1.9909,24.5264,6.5646
24.5953,2.0349,24.5953,2.0370,24.5953,7.4791
24.6642,1.2291,24.6642,2.0249,24.6642,6.7026
24.7331,0.7008,24.7331,2.4513,24.7331,4.8835
24.8020,1.1288,24.8020,2.3556,24.8020,4.4692
24.8709,1.7970,24.8709,3.1763,24.8709,3.4239
24.9398,1.1947,24.9398,3.1244,24.9398,1.8724
25.0087,1.3992,25.0087,2.6322,25.0087,1.8517
25.0776,1.7724,25.0776,2.4960,25.0776,2.3233
25.1465,1.4157,25.1465,2.8547,25.1465,1.9580
25.2154,1.4834,25.2154,2.8816,25.2154,1.7492
25.2843,2.1023,25.2843,1.6311,25.2843,1.6571
25.3532,1.9412,25.3532,1.8842,25.3532,1.5234
25.4221,1.9310,25.4221,2.0609,25.4221,1.3094
25.4910,1.9907,25.4910,1.7938,25.4910,1.2401
25.5599,2.5087,25.5599,2.0526,25.5599,1.5451
25.6288,2.2174,25.6288,2.3766,25.6288,1.3056
25.6976,3.0697,25.6976,1.8296,25.6976,0.5943
25.7665,2.3196,25.7665,1.7829,25.7665,1.3938
25.8354,2.2339,25.8354,1.9331,25.8354,1.3093
25.9043,3.0952,25.9043,1.9870,25.9043,1.7676
25.9732,3.3604,25.9732,2.1009,25.9732,1.4361
26.0421,3.8501,26.0421,1.9067,26.0421,1.3390
26.1110,5.9549,26.1110,1.8032,26.1110,1.5664
26.1799,6.7311,26.1799,0.9636,26.1799,1.5833
26.2488,7.5547,26.2488,1.3577,26.2488,1.3348
26.3177,5.9290,26.3177,2.0690,26.3177,1.0247
26.3866,4.4656,26.3866,2.2203,26.3866,0.7124
26.4555,3.0322,26.4555,2.7198,26.4555,0.8554
26.5244,2.3370,26.5244,3.0814,26.5244,1.3114
26.5933,2.0643,26.5933,3.1416,26.5933,1.4477
26.6622,1.9161,26.6622,3.6857,26.6622,1.3674
26.7311,1.7540,26.7311,4.1194,26.7311,1.1106
26.8000,1.2326,26.8000,5.1958,26.8000,1.5262
26.8689,1.2750,26.8689,5.3765,26.8689,1.5720
26.9377,1.5443,26.9377,6.3627,26.9377,1.9147
27.0066,1.6820,27.0066,7.1372,27.0066,2.5253
27.0755,2.1070,27.0755,5.9543,27.0755,2.8130
27.1444,2.8832,27.1444,5.1409,27.1444,2.7598
27.2133,3.2101,27.2133,3.7369,27.2133,3.9379
27.2822,3.0781,27.2822,2.8106,27.2822,4.6944
27.3511,3.5095,27.3511,2.1872,27.3511,5.4113
27.4200,2.6579,27.4200,2.7895,27.4200,4.6163
27.4889,2.8248,27.4889,2.6210,27.4889,4.9096
27.5578,3.9404,27.5578,2.5390,27.5578,4.0058
27.6267,2.9432,27.6267,2.7816,27.6267,2.9795
27.6956,2.5565,27.6956,2.5710,27.6956,2.3343
27.7645,2.5397,27.7645,3.5676,27.7645,1.8851
27.8334,2.6115,27.8334,3.9371,27.8334,2.3233
27.9023,2.7915,27.9023,3.4225,27.9023,1.9481
27.9712,2.4910,27.9712,3.8842,27.9712,2.1673
28.0401,2.4865,28.0401,4.7899,28.0401,1.4765
28.1090,2.7911,28.1090,5.2329,28.1090,1.5539
28.1778,3.0895,28.1778,6.6369,28.1778,1.7519
28.2467,3.5729,28.2467,8.0068,28.2467,1.2223
28.3156,3.3713,28.3156,7.6932,28.3156,1.3952
28.3845,4.6192,28.3845,7.5297,28.3845,1.7058
28.4534,5.3485,28.4534,4.7756,28.4534,0.7595
28.5223,7.0479,28.5223,3.3327,28.5223,0.9883
28.5912,6.7580,28.5912,3.4066,28.5912,1.5885
28.6601,8.0829,28.6601,3.0579,28.6601,1.1358
28.7290,7.1556,28.7290,5.1221,28.7290,1.3945
28.7979,5.4341,28.7979,6.8101,28.7979,1.8051
28.8668,5.2121,28.8668,6.2484,28.8668,1.8344
28.9357,3.7770,28.9357,5.3705,28.9357,1.5314
29.0046,3.0692,29.0046,3.7117,29.0046,1.8190
29.0735,2.6608,29.0735,3.2232,29.0735,2.2961
29.1424,2.4875,29.1424,2.2600,29.1424,3.1141
29.2113,2.1165,29.2113,2.5942,29.2113,2.7613
29.2802,2.3919,29.2802,2.2726,29.2802,2.5461
29.3491,2.4675,29.3491,3.2840,29.3491,2.3694
29.4179,2.4099,29.4179,3.3254,29.4179,3.0286
29.4868,2.8124,29.4868,3.9224,29.4868,3.2258
29.5557,2.1374,29.5557,5.3184,29.5557,2.1064
29.6246,2.2636,29.6246,6.1597,29.6246,2.1507
29.6935,2.7161,29.6935,5.2123,29.6935,2.1587
