Distance_(microns),Value,X1,Y1,X2,Y2
11.7121,5.8219,11.7121,15.8300,11.7121,5.9639
11.7810,5.3841,11.7810,15.7758,11.7810,6.7805
11.8499,5.4642,11.8499,14.1939,11.8499,7.8696
11.9187,4.8752,11.9187,12.9166,11.9187,6.1387
11.9876,7.0039,11.9876,11.3903,11.9876,4.9130
12.0565,7.2209,12.0565,12.5546,12.0565,4.7918
12.1254,6.9112,12.1254,11.8991,12.1254,4.7014
12.1943,7.1795,12.1943,11.7543,12.1943,4.8898
12.2632,6.2593,12.2632,11.6466,12.2632,6.1572
12.3321,7.6489,12.3321,11.3024,12.3321,4.2063
12.4010,8.7938,12.4010,13.5289,12.4010,4.7232
12.4699,7.8612,12.4699,12.8167,12.4699,4.7885
12.5388,10.4605,12.5388,15.3219,12.5388,4.8445
12.6077,9.9771,12.6077,16.4904,12.6077,4.1807
12.6766,9.5855,12.6766,16.2849,12.6766,5.3911
12.7455,10.1362,12.7455,14.4400,12.7455,4.1002
12.8144,8.7681,12.8144,12.4190,12.8144,5.0340
12.8833,7.3969,12.8833,13.2508,12.8833,6.0771
12.9522,6.2949,12.9522,10.8535,12.9522,5.1217
13.0211,7.4296,13.0211,11.1568,13.0211,6.5988
13.0900,7.5809,13.0900,11.9770,13.0900,6.3493
13.1588,8.5478,13.1588,14.3115,13.1588,6.8766
13.2277,8.7818,13.2277,14.6157,13.2277,7.7388
13.2966,7.7566,13.2966,13.0199,13.2966,7.3932
13.3655,8.4669,13.3655,15.2673,13.3655,7.7653
13.4344,8.3166,13.4344,15.5530,13.4344,5.9290
13.5033,8.5253,13.5033,17.6090,13.5033,6.7811
13.5722,8.0437,13.5722,17.9254,13.5722,7.6217
13.6411,10.8001,13.6411,15.4441,13.6411,7.4532
13.7100,13.1150,13.7100,15.2308,13.7100,8.6647
13.7789,15.7807,13.7789,16.4234,13.7789,8.4722
13.8478,14.5992,13.8478,16.1325,13.8478,8.0834
13.9167,13.4584,13.9167,13.0735,13.9167,8.9237
13.9856,11.6550,13.9856,14.2814,13.9856,7.1240
14.0545,10.3701,14.0545,15.3784,14.0545,5.1921
