Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
19.015,10.211,19.015,14.673,19.0149,12.199,19.0149,19.4493
19.084,10.689,19.084,16.994,19.0838,11.129,19.0838,23.7932
19.153,11.475,19.153,23.684,19.1527,10.954,19.1527,24.2260
19.222,12.816,19.222,31.798,19.2216,10.772,19.2216,26.1332
19.290,14.384,19.290,31.567,19.2905,9.033,19.2905,28.6679
19.359,17.378,19.359,25.031,19.3594,10.740,19.3594,29.9493
19.428,22.236,19.428,24.916,19.4282,10.916,19.4282,27.1200
19.497,25.720,19.497,22.575,19.4971,15.421,19.4971,22.7740
19.566,29.504,19.566,20.480,19.5660,18.926,19.5660,19.4669
19.635,28.840,19.635,16.290,19.6349,22.439,19.6349,17.6875
19.704,29.803,19.704,10.953,19.7038,23.079,19.7038,14.4393
19.773,26.175,19.773,7.502,19.7727,26.001,19.7727,17.9800
19.842,26.688,19.842,6.088,19.8416,26.898,19.8416,18.1528
19.911,27.171,19.911,5.220,19.9105,27.466,19.9105,17.1582
19.979,27.701,19.979,7.810,19.9794,34.756,19.9794,16.8386
20.048,27.900,20.048,7.270,20.0483,46.348,20.0483,15.7161
20.117,20.163,20.117,9.970,20.1172,52.007,20.1172,12.7946
20.186,14.859,20.186,11.182,20.1861,55.085,20.1861,12.7685
20.255,11.559,20.255,16.108,20.2550,57.586,20.2550,10.8215
20.324,10.098,20.324,17.355,20.3239,46.085,20.3239,12.0539
20.393,9.272,20.393,14.434,20.3928,32.169,20.3928,9.2737
20.462,13.554,20.462,14.360,20.4617,26.774,20.4617,8.8606
20.531,19.867,20.531,8.398,20.5306,21.127,20.5306,9.2047
20.599,26.295,20.599,5.459,20.5995,17.401,20.5995,9.0309
20.668,31.619,20.668,5.003,20.6683,15.295,20.6683,7.9283
20.737,27.955,20.737,5.981,20.7372,13.850,20.7372,10.1142
20.806,19.990,20.806,10.999,20.8061,17.973,20.8061,10.6630
20.875,14.505,20.875,12.785,20.8750,16.608,20.8750,9.6678
20.944,12.555,20.944,14.707,20.9439,16.683,20.9439,12.0853
21.013,11.554,21.013,15.206,21.0128,17.920,21.0128,13.4282
21.082,10.292,21.082,13.255,21.0817,15.239,21.0817,16.4313
21.151,11.461,21.151,12.262,21.1506,12.080,21.1506,19.1700
21.220,10.911,21.220,9.194,21.2195,12.165,21.2195,25.6425
21.288,9.086,21.288,6.925,21.2884,18.219,21.2884,26.6884
21.357,9.184,21.357,5.958,21.3573,22.253,21.3573,30.7999
21.426,9.487,21.426,5.340,21.4262,25.747,21.4262,31.4307
21.495,9.017,21.495,6.695,21.4951,33.561,21.4951,28.4090
