Distance_(microns),Value,X1,Y1,X2,Y2
12.4699,1.623,12.4699,15.672,12.470,30.616
12.5388,1.564,12.5388,17.919,12.539,32.286
12.6077,1.993,12.6077,16.558,12.608,31.891
12.6766,2.943,12.6766,17.585,12.677,34.216
12.7455,3.586,12.7455,17.518,12.745,34.186
12.8144,3.623,12.8144,14.715,12.814,27.531
12.8833,2.942,12.8833,16.374,12.883,22.008
12.9522,3.083,12.9522,14.313,12.952,16.152
13.0211,2.764,13.0211,11.262,13.021,12.229
13.0900,2.271,13.0900,7.196,13.090,12.761
13.1588,3.372,13.1588,6.805,13.159,10.796
13.2277,3.692,13.2277,6.268,13.228,10.846
13.2966,2.440,13.2966,6.219,13.297,10.714
13.3655,2.538,13.3655,7.867,13.366,7.655
13.4344,2.578,13.4344,8.801,13.434,6.016
13.5033,2.360,13.5033,7.848,13.503,7.140
13.5722,3.065,13.5722,7.981,13.572,9.625
13.6411,2.089,13.6411,7.157,13.641,10.209
13.7100,2.382,13.7100,6.520,13.710,7.987
13.7789,2.952,13.7789,10.955,13.779,4.903
13.8478,2.964,13.8478,15.230,13.848,4.815
13.9167,4.168,13.9167,20.704,13.917,3.942
13.9856,5.719,13.9856,21.507,13.986,4.668
14.0545,8.216,14.0545,21.121,14.054,8.508
14.1234,10.532,14.1234,18.122,14.123,9.587
14.1923,10.081,14.1923,12.595,14.192,9.160
14.2612,8.541,14.2612,9.643,14.261,13.398
14.3301,7.056,14.3301,8.079,14.330,12.467
14.3989,10.045,14.3989,7.327,14.399,11.643
14.4678,12.855,14.4678,7.133,14.468,16.542
14.5367,16.324,14.5367,7.027,14.537,14.243
14.6056,19.411,14.6056,7.494,14.606,15.257
14.6745,24.295,14.6745,9.849,14.675,13.445
14.7434,24.448,14.7434,9.676,14.743,12.872
14.8123,27.580,14.8123,16.828,14.812,14.659
14.8812,37.913,14.8812,20.111,14.881,13.788
14.9501,50.648,14.9501,23.042,14.950,10.681
15.0190,65.183,15.0190,20.457,15.019,8.945
15.0879,68.456,15.0879,17.820,15.088,6.556
15.1568,60.472,15.1568,14.205,15.157,6.312
15.2257,46.130,15.2257,13.721,15.226,6.843
15.2946,47.414,15.2946,12.830,15.295,5.033
15.3635,46.824,15.3635,12.212,15.363,5.451
15.4324,47.431,15.4324,13.094,15.432,6.550
15.5013,48.238,15.5013,11.771,15.501,8.156
15.5702,41.294,15.5702,11.075,15.570,6.767
15.6391,32.251,15.6391,11.833,15.639,6.306
15.7079,25.169,15.7079,12.335,15.708,7.952
15.7768,20.390,15.7768,14.089,15.777,8.389
15.8457,15.864,15.8457,21.581,15.846,10.928
15.9146,12.929,15.9146,36.674,15.915,14.043
15.9835,12.946,15.9835,62.536,15.984,22.165
16.0524,13.033,16.0524,99.420,16.052,33.613
16.1213,14.205,16.1213,131.687,16.121,45.245
16.1902,18.147,16.1902,131.025,16.190,53.561
16.2591,18.519,16.2591,110.187,16.259,44.396
16.3280,21.841,16.3280,78.172,16.328,32.554
16.3969,24.104,16.3969,58.875,16.397,27.790
16.4658,24.696,16.4658,46.657,16.466,28.904
16.5347,19.505,16.5347,40.546,16.535,30.555
16.6036,16.268,16.6036,33.288,16.604,31.167
16.6725,11.701,16.6725,26.617,16.672,27.067
16.7414,7.111,16.7414,24.733,16.741,23.052
16.8103,6.937,16.8103,21.319,16.810,15.429
16.8792,6.467,16.8792,16.429,16.879,10.035
16.9480,5.776,16.9480,15.268,16.948,10.613
17.0169,4.881,17.0169,14.714,17.017,11.062
17.0858,3.308,17.0858,14.639,17.086,9.666
17.1547,3.549,17.1547,13.591,17.155,5.938
17.2236,4.685,17.2236,10.942,17.224,6.072
17.2925,5.712,17.2925,6.870,17.293,6.038
17.3614,4.695,17.3614,6.132,17.361,6.898
17.4303,7.643,17.4303,8.381,17.430,9.998
17.4992,8.073,17.4992,6.852,17.499,11.493
17.5681,8.512,17.5681,5.853,17.568,16.186
17.6370,10.365,17.6370,5.179,17.637,15.888
17.7059,13.294,17.7059,5.517,17.706,14.146
17.7748,15.177,17.7748,5.640,17.775,11.920
17.8437,19.471,17.8437,6.643,17.844,10.340
17.9126,20.462,17.9126,11.910,17.913,8.873
17.9815,18.029,17.9815,16.349,17.981,8.247
18.0504,19.180,18.0504,16.722,18.050,5.696
18.1193,20.123,18.1193,15.033,18.119,6.069
18.1881,19.404,18.1881,14.032,18.188,7.257
18.2570,20.235,18.2570,14.489,18.257,10.815
18.3259,25.167,18.3259,10.822,18.326,16.660
18.3948,25.216,18.3948,11.040,18.395,21.098
18.4637,29.704,18.4637,12.701,18.464,25.724
18.5326,26.299,18.5326,16.333,18.533,24.973
18.6015,25.114,18.6015,17.497,18.602,21.211
18.6704,22.713,18.6704,14.989,18.670,16.599
18.7393,22.048,18.7393,9.304,18.739,18.995
18.8082,20.716,18.8082,6.723,18.808,21.683
18.8771,16.344,18.8771,6.252,18.877,23.361
18.9460,12.597,18.9460,8.020,18.946,26.050
19.0149,11.020,19.0149,8.346,19.015,27.350
19.0838,9.231,19.0838,9.060,19.084,27.343
19.1527,9.284,19.1527,8.965,19.153,28.969
19.2216,6.242,19.2216,10.328,19.222,27.281
19.2905,5.152,19.2905,8.826,19.290,29.418
19.3594,5.550,19.3594,10.429,19.359,26.914
19.4282,6.105,19.4282,8.253,19.428,25.565
19.4971,9.762,19.4971,7.522,19.497,25.831
19.5660,15.000,19.5660,8.905,19.566,33.146
19.6349,15.407,19.6349,14.986,19.635,44.542
19.7038,18.574,19.7038,22.764,19.704,44.340
19.7727,23.660,19.7727,28.117,19.773,31.768
19.8416,30.637,19.8416,25.998,19.842,20.796
19.9105,32.711,19.9105,21.586,19.911,18.189
19.9794,34.480,19.9794,20.433,19.979,17.418
20.0483,32.810,20.0483,22.961,20.048,17.233
20.1172,27.472,20.1172,26.567,20.117,21.956
20.1861,20.543,20.1861,31.886,20.186,31.849
20.2550,18.782,20.2550,46.343,20.255,35.537
20.3239,17.818,20.3239,73.389,20.324,36.107
20.3928,17.830,20.3928,103.677,20.393,35.317
20.4617,16.013,20.4617,114.771,20.462,28.894
20.5306,13.895,20.5306,93.426,20.531,21.164
20.5995,14.919,20.5995,69.821,20.599,20.808
20.6683,12.105,20.6683,54.865,20.668,16.133
20.7372,10.851,20.7372,44.361,20.737,14.782
20.8061,8.309,20.8061,36.484,20.806,15.570
20.8750,9.221,20.8750,35.445,20.875,15.079
20.9439,9.189,20.9439,34.408,20.944,17.118
21.0128,7.444,21.0128,33.775,21.013,15.667
21.0817,6.620,21.0817,29.003,21.082,16.783
