,position (um),Fat2dICD intensity,Abi intensity
317,21.8396,10.865,2.3797
318,21.9084,13.572,2.2157
319,21.9773,13.555,2.6739
320,22.0462,10.108,2.8271
321,22.1151,11.812,2.8951
322,22.184,13.125,3.4607
323,22.2529,15.111,3.807
324,22.3218,18.166,2.5496
325,22.3907,18.426,2.6216
326,22.4596,23.486,2.4624
327,22.5285,27.758,2.5352
328,22.5974,30.402,2.4672
329,22.6663,30.075,3.322
330,22.7352,30.629,3.6281
331,22.8041,36.774,3.9554
332,22.873,42.778,3.976
333,22.9419,48.502,4.7733
334,23.0108,49.25,5.1215
335,23.0797,39.296,4.1372
336,23.1486,30.519,4.064
337,23.2174,25.168,4.4898
338,23.2863,22.201,3.8104
339,23.3552,17.609,3.0492
340,23.4241,19.386,2.9776
341,23.493,21.789,3.3733
342,23.5619,34.758,3.8814
343,23.6308,43.737,4.9042
344,23.6997,47.897,4.3077
345,23.7686,53.444,3.829
346,23.8375,45.279,4.0415
347,23.9064,35.195,3.6958
348,23.9753,24.838,3.9169
349,24.0442,15.378,3.4292
350,24.1131,11.446,2.7114
351,24.182,9.839,3.1649
352,24.2509,11.113,2.4532
353,24.3198,12.339,3.7132
354,24.3887,15.137,4.295
355,24.4575,21.512,5.1117
356,24.5264,24.167,5.3037
357,24.5953,28.16,5.551
358,24.6642,27.914,4.2715
359,24.7331,29.961,4.5252
360,24.802,28.53,3.4693
361,24.8709,26.467,3.6785
362,24.9398,28.936,3.3323
363,25.0087,32.553,3.9707
364,25.0776,32.564,3.3807
365,25.1465,28.823,3.3608
366,25.2154,24.477,1.9748
367,25.2843,28.955,3.3993
368,25.3532,35.234,5.5584
369,25.4221,52.771,8.2147
370,25.491,80.512,13.1395
371,25.5599,111.496,16.4009
372,25.6288,125.414,18.2303
373,25.6976,134.106,17.1252
374,25.7665,135.054,18.1533
375,25.8354,113.196,18.1719
376,25.9043,92.166,15.9689
377,25.9732,76.032,13.5158
378,26.0421,58.946,11.5067
379,26.111,40.758,8.5096
380,26.1799,22.164,5.9266
381,26.2488,15.889,4.7416
382,26.3177,13.161,2.7339
383,26.3866,12.023,2.0196
384,26.4555,13.559,2.0006
385,26.5244,18.317,2.5358
386,26.5933,23.476,2.3939
387,26.6622,25.352,3.2934
388,26.7311,26.873,3.3857
389,26.8,26.777,4.1608
390,26.8689,20.68,4.2756
391,26.9377,17.97,5.8722
392,27.0066,12.395,4.5485
393,27.0755,12.742,4.2475
394,27.1444,13.23,3.8893
395,27.2133,14.874,2.4331
396,27.2822,14.568,2.1463
397,27.3511,12.11,1.9171
398,27.42,9.692,2.0784
399,27.4889,9.015,1.6173
400,27.5578,10.723,1.4525
401,27.6267,11.733,1.7796
402,27.6956,9.847,1.9761
403,27.7645,9.557,1.8646
404,27.8334,8.774,2.9816
405,27.9023,5.529,2.1707
406,27.9712,5.276,2.3922
407,28.0401,5.919,1.9916
408,28.109,9.857,2.7728
409,28.1778,12.773,2.0283
410,28.2467,16.067,1.766
411,28.3156,16.998,1.6969
412,28.3845,22.132,1.7966
413,28.4534,25.373,1.9393
414,28.5223,25.882,2.4281
415,28.5912,23.727,2.6481
416,28.6601,16.844,3.0163
417,28.729,10.717,3.5713
418,28.7979,9.915,3.384
419,28.8668,13.801,2.8881
420,28.9357,15.676,2.5525
421,29.0046,21.192,2.1144
422,29.0735,18.427,2.7423
423,29.1424,14.726,2.672
424,29.2113,11.704,3.4384
425,29.2802,11.332,3.3961
426,29.3491,11.211,3.4492
427,29.4179,12.421,3.2319
428,29.4868,14.351,2.3686
429,29.5557,14.886,2.4491
430,29.6246,15.864,2.1229
431,29.6935,15.9,1.9143
432,29.7624,14.808,1.9786
433,29.8313,14.382,2.3246
434,29.9002,13.582,1.942
435,29.9691,12.48,2.3646
436,30.038,11.861,2.1905
437,30.1069,13.455,1.7254
438,30.1758,17.326,2.3513
439,30.2447,21.307,2.9508
440,30.3136,23.603,2.7916
441,30.3825,23.207,3.1601
442,30.4514,20.939,4.0207
443,30.5203,16.316,4.6315
444,30.5892,12.834,4.1934
445,30.6581,11.333,4.2891
446,30.7269,11.525,4.1911
447,30.7958,11.413,3.244
448,30.8647,13.319,2.7141
449,30.9336,15.345,2.4924
450,31.0025,14.342,1.863
451,31.0714,15.935,2.869
452,31.1403,15.713,3.0916
453,31.2092,23.612,4.3685
454,31.2781,29.113,4.8298
455,31.347,34.263,5.32
456,31.4159,45.423,6.645
457,31.4848,54.41,5.8772
458,31.5537,51.788,5.5096
459,31.6226,49.933,5.4199
460,31.6915,45.392,4.7932
461,31.7604,43.888,4.5557
462,31.8293,30.683,4.9697
463,31.8982,26.314,3.882
464,31.967,24.906,3.4098
465,32.0359,27.096,3.1398
466,32.1048,31.723,4.3507
467,32.1737,31.564,4.0922
468,32.2426,27.439,3.9253
469,32.3115,23.658,2.745
470,32.3804,27.069,3.0079
471,32.4493,29.746,3.8659
472,32.5182,36.644,4.3331
473,32.5871,58.215,5.0841
474,32.656,91.522,8.2231
475,32.7249,118.015,8.8726
476,32.7938,127.662,8.861
477,32.8627,122.707,8.8212
478,32.9316,113.402,7.7974
479,33.0005,111.127,8.5451
480,33.0694,100.587,8.6395
481,33.1383,79.462,6.9443
482,33.2071,64.145,5.962
483,33.276,49.049,5.0123
484,33.3449,32.906,3.8665
485,33.4138,24.919,2.4974
486,33.4827,20.72,2.6981
487,33.5516,22.079,1.8712
488,33.6205,25.845,1.9531
489,33.6894,34.45,3.4715
490,33.7583,43.252,4.7071
491,33.8272,50.796,5.3973
492,33.8961,45.602,4.0565
493,33.965,29.538,4.8884
494,34.0339,18.202,3.5948
495,34.1028,15.523,3.7518
496,34.1717,13.785,3.4865
497,34.2406,12.531,3.0169
498,34.3095,9.489,2.8361
499,34.3784,8.982,2.4144
500,34.4472,8.355,2.0551
501,34.5161,9.143,1.8208
502,34.585,10.036,1.7074
503,34.6539,11.388,2.0993
504,34.7228,14.699,2.8974
505,34.7917,17.897,2.7216
506,34.8606,15.228,3.8539
507,34.9295,12.997,4.0513
508,34.9984,12.245,4.0536
509,35.0673,11.609,2.8252
510,35.1362,10.428,2.3921
511,35.2051,9.393,2.3511
512,35.274,6.893,3.4199
513,35.3429,8.171,2.3782
514,35.4118,10.867,1.6829
515,35.4807,12.26,1.928
516,35.5496,11.246,2.0808
517,35.6185,10.358,1.939
518,35.6873,8.355,2.6956
519,35.7562,10.437,1.8392
520,35.8251,14.507,2.6091
521,35.894,17.839,2.1095
522,35.9629,20.669,2.3557
523,36.0318,19.402,3.3742
524,36.1007,17.216,3.007
525,36.1696,20.578,2.8337
526,36.2385,19.873,3.5163
527,36.3074,19.713,3.7403
528,36.3763,19.728,3.3186
529,36.4452,16.422,2.6237
530,36.5141,15.854,2.5476
531,36.583,11.895,2.1763
532,36.6519,7.808,1.7454
533,36.7208,6.512,1.687
534,36.7897,7.18,1.7906
535,36.8586,6.36,1.8754
536,36.9274,6.913,1.8425
537,36.9963,11.015,2.3395
538,37.0652,14.802,3.0468
539,37.1341,16.068,3.0657
540,37.203,13.894,3.5426
541,37.2719,9.312,2.6783
542,37.3408,8.704,2.1403
