,position (um),Fat2 intensity,Abi intensity
258,17.7748,1.3352,0.51364
259,17.8437,2.0815,0.78312
260,17.9126,1.7929,1.1118
261,17.9815,1.6716,0.81027
262,18.0504,1.4547,0.89013
263,18.1193,0.868,0.78225
264,18.1881,1.003,0.56032
265,18.257,0.9547,0.67563
266,18.3259,0.817,0.49471
267,18.3948,0.3823,0.62633
268,18.4637,0.8831,0.81904
269,18.5326,0.9335,0.95877
270,18.6015,1.0807,1.05879
271,18.6704,1.1542,1.26778
272,18.7393,1.5711,0.47215
273,18.8082,2.1762,0.76402
274,18.8771,2.701,0.46083
275,18.946,3.3175,0.40083
276,19.0149,4.7489,0.69881
277,19.0838,6.1697,0.62036
278,19.1527,5.4268,0.97135
279,19.2216,9.898,1.05332
280,19.2905,10.4962,1.39561
281,19.3594,9.8337,2.18739
282,19.4282,11.2724,3.60786
283,19.4971,8.7558,3.4504
284,19.566,4.9822,3.17322
285,19.6349,7.3535,2.85734
286,19.7038,9.6666,3.2162
287,19.7727,9.4693,2.54396
288,19.8416,8.5651,2.05609
289,19.9105,7.3811,2.69259
290,19.9794,9.005,2.59805
291,20.0483,8.7199,2.19396
292,20.1172,11.1536,3.19583
293,20.1861,14.9506,2.99383
294,20.255,10.609,2.4406
295,20.3239,8.6696,1.93967
296,20.3928,9.5984,1.91807
297,20.4617,14.9367,1.54937
298,20.5306,20.4353,1.50333
299,20.5995,17.8546,1.37431
300,20.6684,15.2315,2.27047
301,20.7372,14.2659,2.80767
302,20.8061,23.2979,3.17057
303,20.875,41.8965,3.24691
304,20.9439,70.4143,4.37554
305,21.0128,84.1927,5.60478
306,21.0817,75.0471,7.58943
307,21.1506,54.5446,7.713
308,21.2195,33.5742,8.00619
309,21.2884,20.05,7.47655
310,21.3573,15.4182,5.43268
311,21.4262,11.3021,4.81213
312,21.4951,9.898,3.93217
313,21.564,7.3893,3.00168
314,21.6329,6.1245,2.93665
315,21.7018,3.6156,1.84732
316,21.7707,3.0255,1.43274
317,21.8396,2.2121,1.48725
318,21.9085,2.9591,1.23893
319,21.9773,2.0621,1.59681
320,22.0462,2.5538,2.1045
321,22.1151,2.7042,1.47167
322,22.184,2.0242,1.79832
323,22.2529,3.1231,1.97633
324,22.3218,3.2179,1.7682
325,22.3907,3.8724,1.59847
326,22.4596,2.7157,1.51222
327,22.5285,1.8437,1.23278
328,22.5974,1.5647,0.65019
329,22.6663,1.3244,0.51451
330,22.7352,2.688,0.90802
331,22.8041,2.8371,0.82229
332,22.873,2.6668,0.94765
333,22.9419,3.5675,1.74814
334,23.0108,6.5271,1.43397
335,23.0797,6.0726,1.50492
336,23.1486,4.8692,1.49761
337,23.2174,6.5826,1.10296
338,23.2863,8.285,0.67735
339,23.3552,7.0375,0.99339
340,23.4241,8.3085,0.98904
341,23.493,8.7592,1.27588
342,23.5619,7.799,1.47353
343,23.6308,8.7468,1.79419
344,23.6997,6.3027,1.08594
345,23.7686,7.5935,1.04568
346,23.8375,4.434,1.10522
347,23.9064,3.048,1.37364
348,23.9753,3.7443,1.34293
349,24.0442,4.4294,0.97237
350,24.1131,5.4815,0.86056
351,24.182,4.4369,1.62909
352,24.2509,4.0172,1.76214
353,24.3198,2.9717,1.32426
354,24.3887,1.3874,1.36534
355,24.4575,2.2849,1.02325
356,24.5264,2.8117,1.46798
357,24.5953,3.069,1.36302
358,24.6642,2.0867,1.13867
359,24.7331,2.0972,1.32661
360,24.802,2.5968,2.33593
361,24.8709,2.7034,1.35819
362,24.9398,2.5941,1.59422
363,25.0087,1.6537,1.24226
364,25.0776,2.8984,1.39671
365,25.1465,5.3545,1.44491
366,25.2154,5.1089,1.21748
367,25.2843,6.5534,1.89325
368,25.3532,6.6166,1.22604
369,25.4221,5.1953,1.85136
370,25.491,6.7185,2.37911
371,25.5599,6.5443,1.87417
