X0,Y0,X1,Y1,X2,Y2,X3,Y3
8.0607,3.24140,8.0607,6.5167,8.0607,1.78332,8.0607,3.98203
8.1296,3.09463,8.1296,7.1957,8.1296,1.69727,8.1296,4.85476
8.1984,3.35402,8.1984,5.8965,8.1984,1.73375,8.1984,6.58550
8.2673,2.25853,8.2673,6.3326,8.2673,1.67495,8.2673,7.40347
8.3362,1.80512,8.3362,6.2370,8.3362,2.80850,8.3362,7.02910
8.4051,2.43067,8.4051,4.7368,8.4051,3.52285,8.4051,5.09746
8.4740,3.14295,8.4740,4.5040,8.4740,3.19398,8.4740,3.41467
8.5429,3.75272,8.5429,3.6748,8.5429,3.43820,8.5429,2.46566
8.6118,5.30012,8.6118,3.6874,8.6118,2.39032,8.6118,2.06524
8.6807,5.13125,8.6807,3.4518,8.6807,3.35276,8.6807,1.96094
8.7496,4.20364,8.7496,4.4376,8.7496,4.67908,8.7496,1.74161
8.8185,3.62174,8.8185,4.5213,8.8185,3.77712,8.8185,0.94009
8.8874,4.08314,8.8874,3.3069,8.8874,3.15515,8.8874,0.57694
8.9563,3.78784,8.9563,3.0957,8.9563,2.05300,8.9563,0.95192
9.0252,3.68259,9.0252,2.2853,9.0252,1.50799,9.0252,1.43697
9.0941,3.18207,9.0941,1.6928,9.0941,1.48489,9.0941,1.00091
9.1630,2.12458,9.1630,1.6307,9.1630,1.35272,9.1630,0.62416
9.2319,1.52581,9.2319,0.8656,9.2319,1.60280,9.2319,0.51006
9.3008,1.20538,9.3008,1.3319,9.3008,1.59184,9.3008,1.72389
9.3697,1.15096,9.3697,1.7787,9.3697,2.32418,9.3697,2.25234
9.4385,1.47533,9.4385,1.2362,9.4385,2.15322,9.4385,2.21917
9.5074,1.04070,9.5074,1.7991,9.5074,2.32803,9.5074,2.42945
9.5763,0.79606,9.5763,1.9648,9.5763,1.77525,9.5763,3.35831
9.6452,1.01757,9.6452,2.1004,9.6452,1.58624,9.6452,3.48211
9.7141,1.11472,9.7141,2.0490,9.7141,1.16946,9.7141,4.02769
9.7830,1.24594,9.7830,1.5593,9.7830,1.96046,9.7830,3.59656
9.8519,0.51744,9.8519,1.7438,9.8519,2.37158,9.8519,3.63556
9.9208,0.56042,9.9208,1.3423,9.9208,3.21119,9.9208,2.75403
9.9897,0.63052,9.9897,0.8799,9.9897,3.66492,9.9897,2.71555
10.0586,0.91647,10.0586,1.2339,10.0586,4.47451,10.0586,1.00962
10.1275,1.05300,10.1275,2.0303,10.1275,3.83030,10.1275,1.03650
10.1964,1.37057,10.1964,3.9939,10.1964,3.61808,10.1964,0.99854
10.2653,1.77480,10.2653,4.5197,10.2653,4.37342,10.2653,1.78382
10.3342,1.33339,10.3342,3.8523,10.3342,4.16194,10.3342,2.39904
10.4031,1.36999,10.4031,3.4726,10.4031,3.61136,10.4031,3.23288
10.4720,2.09234,10.4720,2.6038,10.4720,5.29042,10.4720,3.40097
10.5409,2.03014,10.5409,1.6306,10.5409,3.75839,10.5409,3.24811
10.6098,2.41262,10.6098,1.5319,10.6098,3.48301,10.6098,3.49620
10.6786,2.35049,10.6786,1.2575,10.6786,3.37243,10.6786,4.28502
10.7475,1.73669,10.7475,1.3164,10.7475,3.21239,10.7475,3.91862
10.8164,1.79273,10.8164,0.9268,10.8164,2.24084,10.8164,2.92095
10.8853,1.11956,10.8853,0.8574,10.8853,2.29030,10.8853,1.81444
10.9542,0.95633,10.9542,1.1421,10.9542,2.29399,10.9542,1.35707
11.0231,1.15517,11.0231,0.9454,11.0231,3.32856,11.0231,1.64089
11.0920,1.03759,11.0920,0.8285,11.0920,3.24262,11.0920,1.79629
11.1609,0.96809,11.1609,1.1771,11.1609,4.28236,11.1609,1.85715
11.2298,1.01201,11.2298,1.3485,11.2298,4.56065,11.2298,2.24786
11.2987,0.92100,11.2987,0.7610,11.2987,4.37399,11.2987,2.83298
11.3676,0.60747,11.3676,1.0984,11.3676,4.13245,11.3676,2.12811
11.4365,0.56944,11.4365,1.8364,11.4365,3.30090,11.4365,2.49523
11.5054,0.82289,11.5054,2.0800,11.5054,2.60451,11.5054,2.23392
11.5743,0.67340,11.5743,2.2565,11.5743,1.85791,11.5743,3.70415
11.6432,0.60341,11.6432,2.7797,11.6432,0.97130,11.6432,4.46800
11.7121,0.88464,11.7121,2.9104,11.7121,1.05966,11.7121,3.17301
11.7810,0.61125,11.7810,3.9358,11.7810,0.96107,11.7810,2.80637
11.8499,1.01506,11.8499,3.6123,11.8499,1.05498,11.8499,2.22581
11.9187,1.07881,11.9187,2.9251,11.9187,0.91752,11.9187,1.82835
11.9876,0.81609,11.9876,3.2114,11.9876,0.88727,11.9876,1.39763
12.0565,0.97723,12.0565,2.7148,12.0565,1.21757,12.0565,0.99719
12.1254,1.56780,12.1254,3.1002,12.1254,1.05465,12.1254,0.25672
12.1943,1.60591,12.1943,3.5288,12.1943,0.95217,12.1943,0.70658
12.2632,2.69319,12.2632,2.3311,12.2632,1.42130,12.2632,0.88142
12.3321,3.37566,12.3321,2.5494,12.3321,1.32678,12.3321,0.71833
12.4010,5.47093,12.4010,1.7828,12.4010,1.45524,12.4010,0.97245
12.4699,4.49230,12.4699,1.5974,12.4699,1.75604,12.4699,0.71013
12.5388,5.62919,12.5388,1.2850,12.5388,1.92867,12.5388,0.92918
