X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
6.2005,19.7379,6.2005,14.0445,6.2005,17.5678,6.2005,7.2195,6.2005,31.2415
6.2694,23.9076,6.2694,11.3104,6.2694,17.2543,6.2694,5.6275,6.2694,25.8039
6.3383,29.8726,6.3383,8.7114,6.3383,19.2901,6.3383,3.0884,6.3383,21.7113
6.4072,34.6087,6.4072,4.9951,6.4072,21.5572,6.4072,3.2654,6.4072,16.3977
6.4761,42.6912,6.4761,5.1877,6.4761,22.4646,6.4761,3.2111,6.4761,12.7236
6.5450,47.1403,6.5450,5.0623,6.5450,17.6669,6.5450,5.5804,6.5450,15.7538
6.6139,36.5320,6.6139,5.4910,6.6139,16.8787,6.6139,7.2127,6.6139,18.0374
6.6828,19.5521,6.6828,4.5549,6.6828,12.4598,6.6828,7.6319,6.6828,23.3765
6.7517,16.0976,6.7517,2.8004,6.7517,7.5803,6.7517,6.1888,6.7517,28.8465
6.8206,17.6413,6.8206,4.2944,6.8206,7.6095,6.8206,6.0392,6.8206,35.1846
6.8895,18.3144,6.8895,4.6887,6.8895,5.3975,6.8895,5.3217,6.8895,40.2586
6.9583,16.1719,6.9583,8.5194,6.9583,4.1089,6.9583,4.5963,6.9583,45.0035
7.0272,15.1159,7.0272,10.1864,7.0272,6.2235,7.0272,3.7478,7.0272,51.1909
7.0961,13.3329,7.0961,9.2941,7.0961,7.0370,7.0961,3.6146,7.0961,56.1294
7.1650,8.3211,7.1650,15.1694,7.1650,5.4760,7.1650,4.3015,7.1650,55.2780
7.2339,5.2998,7.2339,19.9553,7.2339,4.3719,7.2339,4.6824,7.2339,49.8528
7.3028,2.7036,7.3028,27.6619,7.3028,5.4285,7.3028,3.9480,7.3028,29.2612
7.3717,2.2754,7.3717,34.3424,7.3717,4.9908,7.3717,4.9350,7.3717,20.4779
7.4406,4.3605,7.4406,32.6936,7.4406,8.5691,7.4406,5.8358,7.4406,14.5305
7.5095,3.6043,7.5095,25.4134,7.5095,12.6230,7.5095,6.7886,7.5095,9.7766
7.5784,4.5185,7.5784,15.1023,7.5784,20.2726,7.5784,9.9906,7.5784,6.9373
7.6473,3.7173,7.6473,8.8752,7.6473,18.6409,7.6473,10.2575,7.6473,4.3708
7.7162,5.4512,7.7162,5.5800,7.7162,18.3721,7.7162,9.9768,7.7162,4.6408
7.7851,7.3429,7.7851,5.0297,7.7851,14.5255,7.7851,11.7601,7.7851,7.4706
7.8540,9.8809,7.8540,5.4815,7.8540,12.9496,7.8540,12.7419,7.8540,8.7209
7.9229,16.2514,7.9229,4.6845,7.9229,14.3133,7.9229,12.8828,7.9229,10.0654
7.9918,21.8067,7.9918,4.9835,7.9918,12.5600,7.9918,11.0590,7.9918,23.3157
8.0607,27.7444,8.0607,5.2021,8.0607,10.5009,8.0607,9.8095,8.0607,37.2023
8.1296,26.7308,8.1296,4.9047,8.1296,7.4326,8.1296,7.9699,8.1296,43.5898
8.1984,33.5036,8.1984,4.4391,8.1984,4.9015,8.1984,7.0966,8.1984,40.1322
8.2673,31.5474,8.2673,4.0414,8.2673,3.9565,8.2673,5.9107,8.2673,35.1762
8.3362,22.4068,8.3362,2.9890,8.3362,4.5690,8.3362,6.4207,8.3362,27.2805
8.4051,11.7789,8.4051,2.8444,8.4051,3.2170,8.4051,8.0134,8.4051,23.4852
8.4740,6.4686,8.4740,2.5164,8.4740,3.8065,8.4740,8.3785,8.4740,21.2529
8.5429,5.1542,8.5429,2.1443,8.5429,2.8515,8.5429,10.1640,8.5429,18.4538
8.6118,4.2141,8.6118,2.7039,8.6118,3.6746,8.6118,16.9565,8.6118,14.7899
8.6807,3.3185,8.6807,3.9991,8.6807,5.8727,8.6807,19.8563,8.6807,10.1943
8.7496,4.6987,8.7496,4.0696,8.7496,9.6396,8.7496,17.7156,8.7496,4.6278
8.8185,6.4398,8.8185,7.3750,8.8185,14.9491,8.8185,17.1238,8.8185,2.4011
8.8874,5.4026,8.8874,5.7618,8.8874,30.1936,8.8874,18.7406,8.8874,1.9268
8.9563,5.0944,8.9563,8.4039,8.9563,49.9022,8.9563,17.7597,8.9563,2.3651
9.0252,4.9545,9.0252,7.4625,9.0252,59.3318,9.0252,16.1318,9.0252,2.6689
9.0941,7.1416,9.0941,7.8821,9.0941,63.3467,9.0941,15.0095,9.0941,1.9346
9.1630,7.2984,9.1630,9.4842,9.1630,47.8190,9.1630,15.8532,9.1630,2.6930
9.2319,9.7266,9.2319,10.2583,9.2319,36.4991,9.2319,21.9842,9.2319,2.5780
9.3008,9.4549,9.3008,13.1971,9.3008,19.7304,9.3008,21.8607,9.3008,1.9694
9.3697,6.3936,9.3697,12.1365,9.3697,10.4733,9.3697,16.5510,9.3697,3.1261
9.4385,5.5376,9.4385,10.3058,9.4385,5.8447,9.4385,14.5044,9.4385,3.1199
9.5074,6.9365,9.5074,6.7428,9.5074,3.3337,9.5074,15.8221,9.5074,4.6512
9.5763,12.1123,9.5763,5.4394,9.5763,2.5915,9.5763,17.2258,9.5763,4.3851
9.6452,12.6273,9.6452,6.4128,9.6452,2.0710,9.6452,11.5584,9.6452,3.2070
9.7141,19.0234,9.7141,4.7873,9.7141,1.4905,9.7141,7.0635,9.7141,3.1476
9.7830,23.7027,9.7830,3.7606,9.7830,1.5805,9.7830,4.9076,9.7830,3.8960
9.8519,26.3794,9.8519,4.2767,9.8519,1.6707,9.8519,3.7310,9.8519,4.1702
9.9208,26.3506,9.9208,5.6476,9.9208,1.9819,9.9208,5.5917,9.9208,5.1203
9.9897,27.9138,9.9897,3.9295,9.9897,1.4080,9.9897,5.6763,9.9897,5.9685
10.0586,29.2803,10.0586,4.0494,10.0586,1.7009,10.0586,8.9663,10.0586,7.1031
10.1275,33.6562,10.1275,5.6131,10.1275,1.7523,10.1275,16.6992,10.1275,9.1969
10.1964,31.8717,10.1964,6.8583,10.1964,1.0886,10.1964,26.1312,10.1964,9.5777
10.2653,33.5684,10.2653,15.4397,10.2653,2.0250,10.2653,34.9782,10.2653,9.0670
10.3342,34.4431,10.3342,23.1443,10.3342,1.6906,10.3342,30.3961,10.3342,11.9998
10.4031,28.7022,10.4031,32.0425,10.4031,1.6052,10.4031,21.0865,10.4031,12.4193
10.4720,18.2487,10.4720,39.7454,10.4720,1.9321,10.4720,16.6493,10.4720,12.3221
10.5409,15.1107,10.5409,35.9756,10.5409,1.3861,10.5409,12.5374,10.5409,15.8707
10.6098,15.5026,10.6098,28.3111,10.6098,1.5947,10.6098,6.0776,10.6098,20.1700
10.6786,17.6528,10.6786,17.0017,10.6786,1.9497,10.6786,3.7178,10.6786,18.9499
10.7475,20.8637,10.7475,9.1907,10.7475,1.6056,10.7475,3.1548,10.7475,17.3199
10.8164,21.8152,10.8164,6.6848,10.8164,1.9969,10.8164,3.0379,10.8164,20.1141
10.8853,15.7708,10.8853,5.0963,10.8853,1.9846,10.8853,3.3127,10.8853,35.0273
10.9542,10.7500,10.9542,5.6024,10.9542,1.7224,10.9542,2.8624,10.9542,46.2405
11.0231,11.3383,11.0231,4.8681,11.0231,2.6615,11.0231,2.3475,11.0231,37.9561
11.0920,12.3831,11.0920,4.5178,11.0920,2.0924,11.0920,2.0928,11.0920,18.9799
11.1609,13.8757,11.1609,5.4837,11.1609,1.5858,11.1609,2.5255,11.1609,8.1607
11.2298,12.2467,11.2298,7.2152,11.2298,2.8797,11.2298,2.8262,11.2298,6.4737
11.2987,8.8427,11.2987,7.9642,11.2987,3.0450,11.2987,3.1604,11.2987,5.5493
11.3676,5.7929,11.3676,9.2175,11.3676,2.4492,11.3676,3.1642,11.3676,5.9279
11.4365,4.0229,11.4365,7.9207,11.4365,2.2485,11.4365,2.3231,11.4365,5.2939
11.5054,3.0709,11.5054,7.4263,11.5054,0.9844,11.5054,2.2300,11.5054,4.0237
11.5743,2.3468,11.5743,7.7580,11.5743,2.0531,11.5743,1.7730,11.5743,3.5899
11.6432,2.1940,11.6432,7.0889,11.6432,2.0379,11.6432,2.6242,11.6432,2.8671
11.7121,3.8367,11.7121,9.3114,11.7121,1.7015,11.7121,2.5235,11.7121,2.1876
11.7810,7.2250,11.7810,11.7560,11.7810,4.3708,11.7810,2.3378,11.7810,1.8956
11.8499,11.8822,11.8499,14.1801,11.8499,3.5883,11.8499,1.8631,11.8499,4.6808
11.9187,12.8639,11.9187,10.7142,11.9187,3.3323,11.9187,1.9510,11.9187,4.8506
11.9876,6.0331,11.9876,7.3920,11.9876,5.9190,11.9876,2.2786,11.9876,5.9381
12.0565,4.1558,12.0565,3.7521,12.0565,9.9017,12.0565,2.1558,12.0565,8.3228
12.1254,3.4923,12.1254,1.7338,12.1254,15.7815,12.1254,4.6228,12.1254,9.6376
12.1943,3.0380,12.1943,1.3140,12.1943,24.5640,12.1943,5.3179,12.1943,12.0182
12.2632,3.6958,12.2632,1.0575,12.2632,25.4954,12.2632,8.0775,12.2632,9.0159
12.3321,2.3576,12.3321,2.0956,12.3321,21.7377,12.3321,9.3552,12.3321,9.3666
12.4010,1.7806,12.4010,1.2715,12.4010,17.6565,12.4010,8.1275,12.4010,7.7913
12.4699,2.5519,12.4699,0.9337,12.4699,12.1414,12.4699,9.1235,12.4699,3.2951
12.5388,1.5936,12.5388,1.3392,12.5388,6.7333,12.5388,8.2763,12.5388,4.1973
12.6077,2.4910,12.6077,1.3760,12.6077,3.9183,12.6077,11.0936,12.6077,3.6647
12.6766,4.1333,12.6766,2.3747,12.6766,4.1878,12.6766,13.1840,12.6766,2.0315
12.7455,4.3246,12.7455,2.7289,12.7455,4.2170,12.7455,13.3120,12.7455,3.5563
12.8144,5.8521,12.8144,3.1757,12.8144,1.8873,12.8144,10.8685,12.8144,5.4805
12.8833,8.5035,12.8833,2.3867,12.8833,2.1351,12.8833,9.2875,12.8833,7.8485
12.9522,10.2861,12.9522,2.2322,12.9522,2.3639,12.9522,11.9012,12.9522,11.5794
13.0211,13.9972,13.0211,1.4408,13.0211,1.4430,13.0211,16.4548,13.0211,13.3089
13.0900,12.7680,13.0900,1.6278,13.0900,1.3343,13.0900,20.5096,13.0900,15.3962
13.1588,13.9083,13.1588,2.1859,13.1588,1.6108,13.1588,19.7048,13.1588,15.8810
13.2277,9.9145,13.2277,1.6134,13.2277,1.7051,13.2277,25.1471,13.2277,18.4857
13.2966,8.0086,13.2966,1.2791,13.2966,1.5619,13.2966,32.4062,13.2966,21.4879
13.3655,7.3614,13.3655,1.5791,13.3655,2.2986,13.3655,40.8398,13.3655,23.1006
13.4344,4.3089,13.4344,1.4734,13.4344,1.3604,13.4344,48.9223,13.4344,24.0132
13.5033,2.2605,13.5033,1.5076,13.5033,1.2437,13.5033,41.6729,13.5033,20.1200
13.5722,1.8718,13.5722,1.0211,13.5722,1.4944,13.5722,35.8603,13.5722,10.5299
13.6411,1.5684,13.6411,1.8758,13.6411,1.4707,13.6411,30.9977,13.6411,6.9825
13.7100,2.1713,13.7100,2.0124,13.7100,1.2675,13.7100,31.8373,13.7100,8.1908
13.7789,1.7749,13.7789,2.3699,13.7789,2.2824,13.7789,28.2682,13.7789,10.6926
13.8478,2.6634,13.8478,4.5845,13.8478,1.7903,13.8478,19.9084,13.8478,12.1064
13.9167,3.6783,13.9167,6.2015,13.9167,2.2759,13.9167,13.3996,13.9167,22.3062
13.9856,3.7234,13.9856,6.5627,13.9856,3.0236,13.9856,6.1292,13.9856,33.4779
14.0545,5.1439,14.0545,7.4047,14.0545,3.5185,14.0545,3.4642,14.0545,52.0154
14.1234,5.9490,14.1234,10.5368,14.1234,5.5900,14.1234,1.2985,14.1234,59.6410
14.1923,7.6189,14.1923,13.9000,14.1923,6.8134,14.1923,1.3479,14.1923,63.8418
14.2612,8.8026,14.2612,19.4033,14.2612,8.6367,14.2612,1.3244,14.2612,68.0658
14.3301,9.9582,14.3301,21.5961,14.3301,14.7107,14.3301,1.7222,14.3301,58.1336
14.3990,10.1554,14.3990,30.0579,14.3990,25.1220,14.3990,1.6000,14.3990,55.1119
14.4678,12.5015,14.4678,36.6454,14.4678,45.8414,14.4678,1.4195,14.4678,75.9124
14.5367,15.1032,14.5367,35.2925,14.5367,68.3818,14.5367,2.0688,14.5367,78.6656
14.6056,16.3374,14.6056,33.2135,14.6056,73.9543,14.6056,4.3924,14.6056,53.2044
14.6745,20.6304,14.6745,25.4624,14.6745,63.0694,14.6745,4.1236,14.6745,31.2963
14.7434,21.1365,14.7434,17.2419,14.7434,40.5051,14.7434,4.6507,14.7434,18.6380
14.8123,22.4783,14.8123,18.0593,14.8123,27.9617,14.8123,9.9574,14.8123,13.4295
14.8812,24.2396,14.8812,19.6593,14.8812,18.6656,14.8812,19.9693,14.8812,8.3083
14.9501,23.5747,14.9501,18.6281,14.9501,14.3402,14.9501,28.4746,14.9501,5.2821
15.0190,19.7379,15.0190,15.7436,15.0190,10.4505,15.0190,25.2559,15.0190,3.3668
15.0879,16.0846,15.0879,13.7943,15.0879,11.3305,15.0879,21.3999,15.0879,2.6604
15.1568,11.3561,15.1568,13.5369,15.1568,10.3327,15.1568,13.0583,15.1568,1.9389
15.2257,7.5500,15.2257,12.6243,15.2257,9.4228,15.2257,10.0439,15.2257,1.8629
15.2946,9.9394,15.2946,13.3483,15.2946,8.6805,15.2946,5.8992,15.2946,1.1100
15.3635,12.5632,15.3635,14.1360,15.3635,9.3133,15.3635,5.6112,15.3635,1.4264
15.4324,13.7511,15.4324,13.7268,15.4324,13.0359,15.4324,4.5125,15.4324,1.7420
15.5013,9.6323,15.5013,17.1335,15.5013,14.7321,15.5013,5.1587,15.5013,1.6051
15.5702,8.1103,15.5702,16.0653,15.5702,14.0150,15.5702,4.8028,15.5702,1.6651
15.6391,6.7433,15.6391,15.2491,15.6391,16.6309,15.6391,7.5724,15.6391,2.8030
15.7079,8.5390,15.7079,9.5836,15.7079,18.4584,15.7079,12.0153,15.7079,3.9566
15.7768,12.0934,15.7768,6.4943,15.7768,21.2569,15.7768,14.3424,15.7768,5.2705
15.8457,11.5071,15.8457,5.9490,15.8457,17.6847,15.8457,15.1889,15.8457,10.3133
15.9146,15.1504,15.9146,6.5144,15.9146,16.5540,15.9146,16.6029,15.9146,15.6924
15.9835,20.4152,15.9835,10.3480,15.9835,13.6697,15.9835,19.3211,15.9835,15.1973
16.0524,24.9820,16.0524,11.8456,16.0524,11.3694,16.0524,22.0141,16.0524,12.2303
16.1213,21.9430,16.1213,14.5801,16.1213,11.8724,16.1213,22.7406,16.1213,9.0162
16.1902,13.7817,16.1902,13.3192,16.1902,13.8394,16.1902,18.8406,16.1902,6.5197
16.2591,7.9760,16.2591,15.3003,16.2591,13.3236,16.2591,12.3648,16.2591,5.5348
16.3280,5.6931,16.3280,14.1190,16.3280,13.8268,16.3280,7.3594,16.3280,4.1931
16.3969,5.1112,16.3969,11.7312,16.3969,11.9137,16.3969,3.4727,16.3969,2.7152
16.4658,6.2729,16.4658,10.3372,16.4658,10.8653,16.4658,3.5321,16.4658,1.8585
16.5347,6.7193,16.5347,10.3965,16.5347,11.3212,16.5347,4.9552,16.5347,2.4120
