X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
9.0252,1.45306,9.0252,2.30711,9.0252,1.31099,9.0252,1.59724,9.0252,1.16349,,,9.0252,2.30531
9.0941,2.33960,9.0941,1.99928,9.0941,0.72140,9.0941,1.04209,9.0941,1.20817,,,9.0941,2.93992
9.1630,3.23176,9.1630,2.64393,9.1630,1.04855,9.1630,1.03741,9.1630,1.54189,,,9.1630,3.76789
9.2319,3.87108,9.2319,2.58944,9.2319,0.81594,9.2319,1.24033,9.2319,1.14617,,,9.2319,3.55260
9.3008,3.64769,9.3008,2.21517,9.3008,0.85508,9.3008,1.39924,9.3008,1.88473,,,9.3008,3.73603
9.3697,2.94813,9.3697,2.91705,9.3697,1.09778,9.3697,1.56803,9.3697,1.36404,,,9.3697,2.83902
9.4385,3.30523,9.4385,3.74796,9.4385,0.73692,9.4385,1.14759,9.4385,1.46874,,,9.4385,1.76334
9.5074,2.84304,9.5074,3.71648,9.5074,0.32253,9.5074,1.02608,9.5074,1.54464,,,9.5074,1.59171
9.5763,2.57691,9.5763,3.49100,9.5763,0.80314,9.5763,0.82052,9.5763,1.50321,,,9.5763,1.28892
9.6452,2.03295,9.6452,3.06927,9.6452,1.16437,9.6452,1.06801,9.6452,1.18850,,,9.6452,1.57905
9.7141,2.21787,9.7141,3.15828,9.7141,1.09923,9.7141,1.49197,9.7141,0.81280,,,9.7141,1.27302
9.7830,2.40304,9.7830,2.91976,9.7830,0.91760,9.7830,1.65914,9.7830,1.19237,,,9.7830,1.44396
9.8519,2.58645,9.8519,2.70235,9.8519,1.04507,9.8519,1.83926,9.8519,1.29732,,,9.8519,1.25503
9.9208,2.93690,9.9208,2.78608,9.9208,0.69386,9.9208,1.50687,9.9208,1.27822,,,9.9208,1.18968
9.9897,2.58381,9.9897,1.86835,9.9897,0.89554,9.9897,1.75268,9.9897,0.98978,,,9.9897,1.76281
10.0586,2.51691,10.0586,1.63603,10.0586,1.19016,10.0586,2.25868,10.0586,1.36470,,,10.0586,2.16617
