X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
3.2380,2.96855,3.2380,0.61643,3.2380,0.90491,3.2380,0.80778,3.23804,1.09259,3.23804,1.60110,3.2380,2.62274,3.2380,0.55496,3.2380,1.30227
3.3069,3.25550,3.3069,0.97424,3.3069,0.66700,3.3069,0.98125,3.30694,1.30529,3.30694,1.09618,3.3069,2.51674,3.3069,0.97398,3.3069,1.27028
3.3758,2.69698,3.3758,0.75199,3.3758,0.71238,3.3758,1.04713,3.37583,1.04500,3.37583,1.17250,3.3758,1.46186,3.3758,1.46169,3.3758,2.02985
3.4447,2.83177,3.4447,0.48649,3.4447,1.08773,3.4447,0.59455,3.44473,1.47523,3.44473,1.13892,3.4447,0.95081,3.4447,0.97683,3.4447,2.24545
3.5136,1.68118,3.5136,0.78709,3.5136,0.75969,3.5136,0.70069,3.51362,1.79556,3.51362,1.09506,3.5136,1.00086,3.5136,1.45013,3.5136,2.51463
3.5825,2.44491,3.5825,0.53597,3.5825,0.79961,3.5825,0.57579,3.58251,1.53528,3.58251,1.45796,3.5825,1.73307,3.5825,1.26602,3.5825,2.18206
3.6514,2.00486,3.6514,1.03794,3.6514,0.50536,3.6514,0.49550,,,3.65141,1.38188,3.6514,2.08302,3.6514,2.02880,3.6514,2.83881
3.7203,1.81191,3.7203,0.85901,3.7203,0.63237,3.7203,0.86283,,,3.72030,2.07673,3.7203,2.60104,3.7203,1.71164,3.7203,2.18604
3.7892,2.23096,3.7892,0.96055,3.7892,0.79414,3.7892,0.73964,,,3.78920,1.80816,3.7892,2.99514,3.7892,1.20999,3.7892,1.22392
3.8581,2.57824,3.8581,0.68203,3.8581,0.62455,3.8581,0.78862,,,3.85809,1.79948,3.8581,3.84283,3.8581,1.46256,3.8581,1.22533
3.9270,2.23236,3.9270,0.91713,3.9270,0.40239,3.9270,0.81977,,,3.92699,1.48997,3.9270,2.94285,3.9270,1.77441,3.9270,1.27840
3.9959,2.20598,3.9959,0.91224,3.9959,0.54060,3.9959,1.60566,,,3.99588,2.17380,3.9959,2.37418,3.9959,1.17523,3.9959,0.90524
4.0648,2.31113,4.0648,1.18933,4.0648,1.09513,4.0648,1.85039,,,4.06478,2.45843,4.0648,2.59952,4.0648,1.50107,4.0648,1.04211
4.1337,2.53434,4.1337,1.17174,4.1337,1.01328,4.1337,1.91145,,,4.13367,2.33736,4.1337,2.60492,4.1337,1.70078,4.1337,0.78948
4.2026,2.37426,4.2026,1.34844,4.2026,0.77638,4.2026,1.65498,,,4.20256,2.63699,4.2026,1.59065,4.2026,1.86372,4.2026,1.02928
4.2715,1.85316,4.2715,1.87364,4.2715,1.20322,4.2715,1.65798,,,4.27146,1.32026,4.2715,1.35960,4.2715,1.55731,4.2715,1.28838
4.3404,1.84066,4.3404,1.71066,4.3404,1.75638,4.3404,1.11526,,,,,4.3404,1.17331,4.3404,1.08921,4.3404,0.84594
4.4092,1.79932,4.4092,1.32634,4.4092,2.64138,4.4092,1.18467,,,,,4.4092,1.36484,4.4092,1.28295,4.4092,0.79859
4.4781,1.36843,4.4781,1.31459,4.4781,2.59829,4.4781,0.95191,,,,,4.4781,1.60997,4.4781,1.94976,4.4781,1.06969
4.5470,1.86374,4.5470,1.31570,4.5470,3.16185,4.5470,0.83061,,,,,4.5470,1.07554,4.5470,1.80329,4.5470,1.45239
4.6159,2.26404,4.6159,0.96416,4.6159,3.62767,4.6159,0.86175,,,,,4.6159,1.09221,4.6159,1.61124,4.6159,1.59777
4.6848,1.68072,4.6848,1.11076,4.6848,3.48023,4.6848,0.83792,,,,,4.6848,0.86953,4.6848,1.58823,4.6848,1.99937
4.7537,1.57445,4.7537,1.64104,4.7537,1.62631,4.7537,0.75418,,,,,4.7537,1.02355,4.7537,1.68931,4.7537,2.51291
4.8226,0.58732,4.8226,1.31935,4.8226,1.01415,4.8226,0.56995,,,,,4.8226,1.50145,4.8226,2.34237,4.8226,3.22169
4.8915,1.20145,4.8915,2.30775,4.8915,1.38590,4.8915,0.84476,,,,,4.8915,1.19703,4.8915,2.24127,4.8915,2.70300
4.9604,1.52744,4.9604,2.26245,4.9604,1.11714,4.9604,1.01581,,,,,4.9604,1.88759,4.9604,2.03404,4.9604,1.60124
5.0293,1.36561,5.0293,1.78623,5.0293,0.72954,5.0293,0.87749,,,,,5.0293,1.81584,5.0293,1.89660,5.0293,1.66372
5.0982,0.93121,5.0982,1.79868,5.0982,1.22220,5.0982,1.10845,,,,,5.0982,1.25541,5.0982,1.75323,5.0982,1.74634
5.1671,0.64797,5.1671,2.31624,5.1671,1.10901,5.1671,0.59254,,,,,5.1671,0.98189,5.1671,1.61682,5.1671,1.32029
5.2360,1.21256,5.2360,2.89875,5.2360,1.35585,5.2360,0.72560,,,,,5.2360,1.23650,5.2360,1.33028,5.2360,1.06586
5.3049,1.38969,5.3049,3.25881,5.3049,2.02930,5.3049,0.40944,,,,,5.3049,1.01231,5.3049,0.95999,5.3049,1.00601
5.3738,1.25374,5.3738,2.94991,5.3738,2.15154,5.3738,0.51629,,,,,5.3738,1.65249,5.3738,1.12034,5.3738,1.72332
5.4427,2.34343,5.4427,3.92686,5.4427,1.99540,5.4427,0.85409,,,,,5.4427,1.45735,5.4427,0.53303,5.4427,1.31582
5.5116,2.64642,5.5116,4.76382,5.5116,2.22022,5.5116,0.43741,,,,,5.5116,1.52427,5.5116,0.50658,5.5116,0.97974
5.5805,1.89716,5.5805,3.81635,5.5805,1.02093,5.5805,0.41412,,,,,5.5805,0.94315,5.5805,0.47633,5.5805,1.05852
5.6493,1.83862,5.6493,3.05442,5.6493,1.10016,5.6493,0.41929,,,,,5.6493,1.01161,5.6493,0.45019,5.6493,0.90195
5.7182,1.77897,5.7182,3.10078,5.7182,1.24820,5.7182,0.80133,,,,,5.7182,0.69686,5.7182,1.09033,5.7182,0.80800
5.7871,1.98886,5.7871,3.29094,5.7871,1.29661,5.7871,0.64063,,,,,5.7871,1.17053,5.7871,0.43498,5.7871,0.86057
5.8560,1.47505,5.8560,3.46690,5.8560,1.85095,5.8560,1.07645,,,,,5.8560,0.88860,5.8560,0.62064,5.8560,0.89074
5.9249,1.40043,5.9249,3.04986,5.9249,1.34796,5.9249,1.16865,,,,,5.9249,0.86300,5.9249,0.61952,5.9249,1.02956
5.9938,1.22597,5.9938,3.31116,5.9938,1.86075,5.9938,1.24972,,,,,5.9938,1.28930,5.9938,0.78497,5.9938,1.03442
6.0627,0.86014,6.0627,2.67964,6.0627,2.06889,6.0627,2.01705,,,,,6.0627,1.51493,6.0627,0.84997,6.0627,1.31943
6.1316,0.71814,6.1316,2.11084,6.1316,2.57093,6.1316,1.71568,,,,,6.1316,1.41189,6.1316,0.92612,6.1316,1.52361
6.2005,0.71937,6.2005,1.51252,6.2005,3.43163,6.2005,1.71054,,,,,6.2005,0.96276,6.2005,0.78533,6.2005,1.27192
6.2694,1.08707,6.2694,1.52966,6.2694,3.97449,6.2694,1.90153,,,,,6.2694,1.04226,6.2694,0.95324,6.2694,1.47322
6.3383,1.76786,6.3383,1.52051,6.3383,3.19162,6.3383,2.36751,,,,,6.3383,0.87092,6.3383,1.02724,6.3383,1.59183
6.4072,2.12808,6.4072,1.32307,6.4072,1.92076,6.4072,2.00936,,,,,6.4072,0.66706,6.4072,1.46680,6.4072,1.89819
6.4761,2.20131,6.4761,1.30101,6.4761,1.26452,6.4761,2.09549,,,,,6.4761,0.68731,6.4761,1.76023,6.4761,2.25781
6.5450,2.34638,6.5450,1.11854,6.5450,1.03917,6.5450,1.50145,,,,,6.5450,0.48590,6.5450,1.69661,6.5450,3.09139
6.6139,2.17664,6.6139,1.36465,6.6139,1.36415,6.6139,1.99874,,,,,6.6139,1.18216,6.6139,1.92385,6.6139,3.59848
6.6828,1.83018,6.6828,1.13155,6.6828,1.66135,6.6828,1.50141,,,,,6.6828,0.80510,6.6828,2.28473,6.6828,2.99485
6.7517,1.03026,6.7517,0.94063,6.7517,1.71985,6.7517,1.39439,,,,,6.7517,1.11031,6.7517,2.33598,6.7517,3.19253
6.8206,0.97605,6.8206,1.11795,6.8206,1.80001,6.8206,0.58006,,,,,6.8206,0.85381,6.8206,2.41889,6.8206,2.63285
6.8895,0.83393,6.8895,1.10601,6.8895,2.03412,6.8895,0.81564,,,,,6.8895,1.00597,6.8895,1.94345,6.8895,2.54314
6.9583,0.51047,6.9583,1.36267,6.9583,1.74327,6.9583,0.63160,,,,,6.9583,1.03735,6.9583,2.33613,6.9583,2.13841
7.0272,0.87056,7.0272,1.84860,7.0272,1.63926,7.0272,0.53118,,,,,7.0272,1.38531,7.0272,2.36676,7.0272,1.94139
7.0961,0.93363,7.0961,1.59755,7.0961,1.48861,7.0961,0.20394,,,,,7.0961,1.25404,7.0961,2.65806,7.0961,1.77597
7.1650,0.90456,7.1650,1.71830,7.1650,1.31561,7.1650,0.29769,,,,,7.1650,1.55596,7.1650,3.12658,7.1650,1.52782
