X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
4.2026,8.0985,4.2026,32.0980,4.2026,3.7852,4.2026,6.6489,4.2026,3.4740,4.2026,1.4877,4.20256,10.7540
4.2715,5.7348,4.2715,30.7975,4.2715,7.0789,4.2715,6.0894,4.2715,2.3093,4.2715,1.3052,4.27146,14.2407
4.3404,3.5738,4.3404,22.1812,4.3404,11.6129,4.3404,4.9603,4.3404,1.5953,4.3404,1.6885,4.34035,16.2148
4.4092,2.4492,4.4092,14.3493,4.4092,18.2352,4.4092,4.7252,4.4092,2.9266,4.4092,2.2809,4.40925,16.5271
4.4781,2.5591,4.4781,10.3680,4.4781,22.2017,4.4781,4.5809,4.4781,1.6540,4.4781,3.1809,4.47814,16.1590
4.5470,2.1856,4.5470,8.8984,4.5470,17.4634,4.5470,3.8258,4.5470,2.1191,4.5470,3.5517,4.54704,17.0729
4.6159,2.0194,4.6159,7.3781,4.6159,13.0463,4.6159,2.4494,4.6159,1.2451,4.6159,5.2851,4.61593,17.0622
4.6848,3.9813,4.6848,4.4614,4.6848,10.0830,4.6848,4.1602,4.6848,1.5923,4.6848,6.2720,4.68483,17.0408
4.7537,6.3031,4.7537,4.6564,4.7537,10.0284,4.7537,4.0885,4.7537,1.9758,4.7537,7.3895,4.75372,13.9067
4.8226,12.5255,4.8226,4.5908,4.8226,6.8987,4.8226,4.5870,4.8226,1.0514,4.8226,8.4156,4.82262,14.9573
4.8915,18.1517,4.8915,3.7939,4.8915,6.8938,4.8915,5.7267,4.8915,1.1598,4.8915,10.7583,4.89151,22.5955
4.9604,13.9666,4.9604,3.3350,4.9604,5.2059,4.9604,7.3886,4.9604,0.9519,4.9604,8.7195,4.96040,28.4813
5.0293,8.0490,5.0293,3.0008,5.0293,7.1969,5.0293,7.8732,5.0293,1.1667,5.0293,6.8210,5.02930,28.8284
5.0982,5.5709,5.0982,1.8549,5.0982,7.5520,5.0982,10.0406,5.0982,1.7383,5.0982,6.8721,5.09819,23.4658
5.1671,3.4574,5.1671,2.2948,5.1671,9.0194,5.1671,9.2411,5.1671,2.3047,5.1671,8.3675,5.16709,15.5617
5.2360,4.4362,5.2360,2.7656,5.2360,11.1620,5.2360,7.8788,5.2360,3.8452,5.2360,7.2839,5.23598,12.1897
