X0,Y0,X1,Y1,X2,Y2
8.6807,2.74763,8.6807,1.11847,8.6807,3.48352
8.7496,2.80664,8.7496,1.13365,8.7496,3.30333
8.8185,2.52757,8.8185,1.12889,8.8185,2.95453
8.8874,3.01002,8.8874,1.92286,8.8874,1.98552
8.9563,1.86980,8.9563,1.79172,8.9563,2.20946
9.0252,2.13489,9.0252,1.04631,9.0252,2.02317
9.0941,2.91228,9.0941,1.89521,9.0941,2.46798
9.1630,2.50315,9.1630,1.67161,9.1630,1.61868
9.2319,3.55972,9.2319,2.13524,9.2319,2.47940
9.3008,3.38643,9.3008,2.19389,9.3008,1.92072
9.3697,2.43235,9.3697,2.48821,9.3697,2.00939
9.4385,2.50559,9.4385,2.30804,9.4385,1.79662
9.5074,2.36011,9.5074,2.11586,9.5074,1.69556
9.5763,1.78942,9.5763,2.50579,9.5763,1.41645
9.6452,1.49175,9.6452,3.12627,9.6452,1.80762
9.7141,1.37452,9.7141,3.98946,9.7141,1.73941
9.7830,1.38370,9.7830,4.00518,9.7830,1.49356
9.8519,1.62419,9.8519,4.30350,9.8519,0.94100
9.9208,1.62955,9.9208,3.68348,9.9208,1.42514
9.9897,1.55629,9.9897,3.16225,9.9897,2.21959
10.0586,1.33952,10.0586,2.08341,10.0586,2.18989
10.1275,0.91295,10.1275,2.03084,10.1275,2.79570
10.1964,1.32832,10.1964,0.90042,10.1964,3.18214
10.2653,2.15625,10.2653,0.95592,10.2653,3.79500
10.3342,2.20036,10.3342,0.69421,10.3342,4.68836
10.4031,1.96488,10.4031,0.67774,10.4031,5.58741
10.4720,1.59513,10.4720,0.58337,10.4720,5.06515
10.5409,1.94030,10.5409,0.73767,10.5409,4.69510
10.6098,1.90730,10.6098,0.84149,10.6098,4.49258
10.6786,2.08501,10.6786,1.08965,10.6786,4.59669
10.7475,2.61502,10.7475,0.74087,10.7475,3.54462
10.8164,1.81470,10.8164,0.58387,10.8164,3.85014
10.8853,2.71958,10.8853,0.45291,10.8853,4.28894
10.9542,2.76509,10.9542,0.49086,10.9542,5.58883
11.0231,1.95844,11.0231,0.16379,11.0231,6.16773
11.0920,2.65627,11.0920,0.41874,11.0920,7.47045
11.1609,2.25591,11.1609,0.65835,11.1609,4.86479
11.2298,1.39032,11.2298,0.79730,11.2298,4.30219
11.2987,1.86334,11.2987,1.33849,11.2987,3.44846
11.3676,2.25392,11.3676,0.87359,11.3676,3.14756
11.4365,2.19187,11.4365,1.36600,11.4365,2.67826
11.5054,1.72343,11.5054,1.57185,11.5054,2.48966
11.5743,1.40894,11.5743,1.53434,11.5743,1.91013
11.6432,2.17948,11.6432,1.18880,11.6432,2.40907
11.7121,1.19402,11.7121,1.14762,11.7121,1.82615
11.7810,1.25438,11.7810,1.07109,11.7810,1.46084
11.8499,2.28365,11.8499,0.77291,11.8499,1.48071
11.9187,2.36146,11.9187,1.05443,11.9187,1.90940
11.9876,3.12947,11.9876,1.73758,11.9876,1.96351
12.0565,3.30329,12.0565,1.19743,12.0565,1.54126
12.1254,3.27658,12.1254,1.24675,12.1254,1.00038
12.1943,2.97873,12.1943,1.27771,12.1943,1.06751
12.2632,2.46106,12.2632,1.61250,12.2632,1.32720
12.3321,2.24717,12.3321,1.84821,12.3321,1.09412
12.4010,2.17760,12.4010,1.79666,12.4010,1.23494
12.4699,2.51682,12.4699,1.55389,12.4699,1.24374
12.5388,2.40085,12.5388,1.35366,12.5388,1.77242
12.6077,3.75979,12.6077,1.32664,12.6077,1.17125
12.6766,4.15043,12.6766,1.65474,12.6766,2.10348
12.7455,3.87359,12.7455,1.17987,12.7455,2.18239
12.8144,4.91543,12.8144,1.85186,12.8144,2.70322
12.8833,4.56388,12.8833,2.08398,12.8833,2.87979
12.9522,3.32106,12.9522,1.98482,12.9522,2.52237
13.0211,3.12530,13.0211,1.92930,13.0211,2.13700
13.0900,4.13016,13.0900,1.85454,13.0900,1.91319
