X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
8.4051,1.05707,8.4051,1.0900,8.4051,1.43763,8.4051,1.34820,8.4051,2.79127,8.4051,0.94642
8.4740,1.26948,8.4740,1.2686,8.4740,1.36139,8.4740,1.10650,8.4740,2.80796,8.4740,1.07010
8.5429,1.75563,8.5429,1.4656,8.5429,1.29923,8.5429,0.87684,8.5429,2.55667,8.5429,1.86235
8.6118,3.00119,8.6118,1.7800,8.6118,1.24912,8.6118,1.42541,8.6118,2.34194,8.6118,1.67536
8.6807,4.61715,8.6807,1.6171,8.6807,1.25083,8.6807,1.79198,8.6807,2.20065,8.6807,1.22159
8.7496,4.92876,8.7496,1.3052,8.7496,1.09556,8.7496,2.26066,8.7496,2.18151,8.7496,1.39279
8.8185,3.68431,8.8185,2.2111,8.8185,0.63673,8.8185,2.98239,8.8185,2.24201,8.8185,1.52726
8.8874,2.07136,8.8874,3.7512,8.8874,0.92948,8.8874,3.79161,8.8874,2.25909,8.8874,1.34924
8.9563,1.14082,8.9563,3.1740,8.9563,0.96155,8.9563,4.72183,8.9563,1.80651,8.9563,1.87534
9.0252,1.01108,9.0252,2.3765,9.0252,0.87090,9.0252,5.13422,9.0252,1.81743,9.0252,3.15061
9.0941,1.11759,9.0941,1.3663,9.0941,0.67309,9.0941,6.16677,9.0941,1.76885,9.0941,2.81620
9.1630,1.26053,9.1630,0.8945,9.1630,0.69763,9.1630,5.47342,9.1630,1.15514,9.1630,3.20369
9.2319,1.06569,9.2319,0.7674,9.2319,0.91814,9.2319,4.62531,9.2319,0.52738,9.2319,2.70058
9.3008,0.91525,9.3008,0.6321,9.3008,1.29279,9.3008,4.18704,9.3008,0.19444,9.3008,2.24772
9.3697,1.13103,9.3697,0.8628,9.3697,1.08332,9.3697,2.56837,9.3697,0.15489,9.3697,1.13702
9.4385,0.89891,9.4385,0.9475,9.4385,1.25502,9.4385,2.46349,9.4385,0.60597,9.4385,0.30548
9.5074,1.05150,9.5074,0.9955,9.5074,1.17546,9.5074,2.42050,9.5074,0.39146,9.5074,0.39933
9.5763,1.23429,9.5763,0.6241,9.5763,1.53565,9.5763,1.52825,9.5763,0.35450,9.5763,0.62998
9.6452,1.93987,9.6452,0.5304,9.6452,1.44002,9.6452,1.13393,9.6452,0.45697,9.6452,0.50106
9.7141,2.59683,9.7141,0.5882,9.7141,1.46307,9.7141,1.33849,9.7141,1.01022,9.7141,0.38892
9.7830,3.45980,9.7830,0.9668,9.7830,0.92529,9.7830,0.82241,9.7830,0.75432,9.7830,0.36217
9.8519,3.59746,9.8519,0.9046,9.8519,1.31772,9.8519,0.77927,9.8519,0.66073,9.8519,0.27557
9.9208,2.60849,9.9208,1.2236,9.9208,1.85445,9.9208,0.98847,9.9208,0.39800,9.9208,0.41528
9.9897,1.38971,9.9897,1.8273,9.9897,2.20591,9.9897,1.38971,9.9897,0.58012,9.9897,0.46930
10.0586,0.74713,10.0586,1.8193,10.0586,2.17128,10.0586,1.04996,10.0586,0.79919,10.0586,0.47064
10.1275,0.61924,10.1275,3.1262,10.1275,2.19217,10.1275,1.01498,10.1275,0.78354,10.1275,0.73070
10.1964,0.94532,10.1964,3.0240,10.1964,1.93909,10.1964,0.69338,10.1964,0.37404,10.1964,1.33669
10.2653,0.82766,10.2653,3.2475,10.2653,1.39124,10.2653,0.92451,10.2653,0.35293,10.2653,1.84945
10.3342,1.14812,10.3342,3.2310,10.3342,0.98731,10.3342,0.57966,10.3342,0.62986,10.3342,1.31700
10.4031,2.09480,10.4031,2.8424,10.4031,1.27835,10.4031,1.09986,10.4031,0.99383,10.4031,1.24004
10.4720,2.12007,10.4720,1.9875,10.4720,0.98431,10.4720,0.75931,10.4720,0.76750,10.4720,1.37444
10.5409,1.79614,10.5409,1.6021,10.5409,1.17637,10.5409,0.93082,10.5409,0.97402,10.5409,1.41549
10.6098,2.05202,10.6098,1.2747,10.6098,1.34337,10.6098,0.71116,10.6098,0.64979,10.6098,1.35072
10.6786,2.36943,10.6786,1.5053,10.6786,2.18906,10.6786,0.51068,10.6786,0.70576,10.6786,2.12129
10.7475,2.47839,10.7475,1.2187,10.7475,3.02946,10.7475,0.52724,10.7475,0.78672,10.7475,2.20145
10.8164,3.04991,10.8164,0.5366,10.8164,4.47102,10.8164,0.62665,10.8164,0.59254,10.8164,2.63688
10.8853,3.07539,10.8853,0.9325,10.8853,4.55897,10.8853,0.86077,10.8853,0.95437,10.8853,3.27191
10.9542,2.32257,10.9542,1.5906,10.9542,4.09879,10.9542,0.51859,10.9542,1.56734,10.9542,4.18588
11.0231,1.72662,11.0231,2.4144,11.0231,4.30797,11.0231,0.69622,11.0231,1.66543,11.0231,3.51896
11.0920,1.56576,11.0920,2.9888,11.0920,2.99459,11.0920,0.83439,11.0920,1.40874,11.0920,3.32276
11.1609,1.20646,11.1609,3.5447,11.1609,2.38760,11.1609,0.80042,11.1609,1.27708,11.1609,2.66575
11.2298,0.54492,11.2298,3.2634,11.2298,1.96977,11.2298,0.75234,11.2298,0.75294,11.2298,1.40510
11.2987,0.72848,11.2987,2.4080,11.2987,1.45740,11.2987,0.96838,11.2987,0.55946,11.2987,1.33161
11.3676,0.75740,11.3676,1.6592,11.3676,1.38793,11.3676,1.46980,11.3676,0.53351,11.3676,1.65419
11.4365,0.98357,11.4365,1.3515,11.4365,1.13595,11.4365,2.19113,11.4365,0.73585,11.4365,1.51250
11.5054,1.24997,11.5054,1.3680,11.5054,0.85868,11.5054,2.53387,11.5054,0.69887,11.5054,1.53499
11.5743,1.61120,11.5743,1.2055,11.5743,0.89827,11.5743,3.52174,11.5743,1.12521,11.5743,1.54136
11.6432,2.09325,11.6432,1.5372,11.6432,1.14559,11.6432,3.84426,11.6432,1.40769,11.6432,1.22999
11.7121,3.14363,11.7121,1.2827,11.7121,0.87739,11.7121,2.65987,11.7121,0.64207,11.7121,1.74023
11.7810,4.32170,11.7810,1.7839,11.7810,0.70142,11.7810,1.93589,11.7810,1.16200,11.7810,1.82914
11.8499,2.88983,11.8499,1.2596,11.8499,0.87466,11.8499,1.37348,11.8499,2.31307,11.8499,1.80123
11.9187,2.24378,11.9187,0.9344,11.9187,0.44073,11.9187,1.15349,11.9187,1.40768,11.9187,1.46761
11.9876,3.09983,11.9876,1.0739,11.9876,0.61134,11.9876,0.78492,11.9876,1.28719,11.9876,1.60948
12.0565,2.28983,12.0565,0.8492,12.0565,1.06273,12.0565,0.60752,12.0565,1.35730,12.0565,1.40339
12.1254,1.85361,12.1254,1.4124,12.1254,1.12186,12.1254,0.84307,12.1254,1.53611,12.1254,1.58749
12.1943,1.95207,12.1943,1.9771,12.1943,1.16312,12.1943,0.72259,12.1943,1.24003,12.1943,1.87225
12.2632,1.33445,12.2632,2.4885,12.2632,1.01655,12.2632,1.33962,12.2632,1.64069,12.2632,1.68521
12.3321,1.12893,12.3321,2.8281,12.3321,1.25252,12.3321,1.20253,12.3321,1.05958,12.3321,1.76223
12.4010,1.11279,12.4010,5.0591,12.4010,1.00642,12.4010,1.59061,12.4010,1.09456,12.4010,2.59508
12.4699,1.24125,12.4699,5.6715,12.4699,0.93681,12.4699,1.42432,12.4699,1.61823,12.4699,3.03406
12.5388,1.67503,12.5388,7.5544,12.5388,1.06404,12.5388,1.51310,12.5388,2.30823,12.5388,2.24466
12.6077,1.41530,12.6077,7.2130,12.6077,0.40839,12.6077,1.79962,12.6077,2.71771,12.6077,1.97604
12.6766,1.61899,12.6766,6.6154,12.6766,0.76051,12.6766,1.56956,12.6766,2.68477,12.6766,1.58089
12.7455,1.66353,12.7455,5.4976,12.7455,0.77467,12.7455,1.34022,12.7455,3.79287,12.7455,1.58487
12.8144,2.02358,,,12.8144,1.16358,12.8144,1.10289,12.8144,5.50166,12.8144,1.28953
12.8833,2.75359,,,12.8833,1.44254,12.8833,1.26324,12.8833,5.84907,12.8833,1.89252
12.9522,3.96456,,,12.9522,1.42569,12.9522,1.32962,12.9522,6.13670,12.9522,1.54331
13.0211,6.00951,,,13.0211,1.54317,13.0211,1.72532,13.0211,5.56753,13.0211,2.11751
13.0900,7.12362,,,13.0900,1.47169,13.0900,1.86897,13.0900,3.91133,13.0900,2.14422
13.1588,5.75978,,,13.1588,1.22478,13.1588,1.81362,13.1588,3.55708,13.1588,1.41810
13.2277,2.79446,,,13.2277,1.54051,13.2277,1.89024,13.2277,3.57509,13.2277,1.37910
13.2966,2.08207,,,13.2966,2.40176,13.2966,1.35990,13.2966,2.75876,13.2966,1.67359
13.3655,1.48908,,,13.3655,3.74105,13.3655,1.31664,13.3655,1.65059,13.3655,1.38907
13.4344,1.16337,,,13.4344,2.94485,13.4344,0.60985,13.4344,1.59291,13.4344,1.18903
13.5033,1.81880,,,13.5033,2.91118,13.5033,1.08201,13.5033,1.01137,13.5033,2.32961
13.5722,2.23744,,,13.5722,2.15622,13.5722,0.46572,13.5722,0.91978,13.5722,2.73666
13.6411,2.47577,,,13.6411,1.81985,13.6411,0.50166,13.6411,0.92234,13.6411,2.69579
13.7100,2.62413,,,13.7100,1.12290,13.7100,0.60003,13.7100,0.97681,13.7100,2.44130
13.7789,2.43269,,,13.7789,1.72499,13.7789,0.84548,13.7789,1.03702,13.7789,2.19683
13.8478,2.89842,,,13.8478,1.39412,13.8478,0.65578,13.8478,0.83636,13.8478,2.15844
13.9167,2.45089,,,13.9167,1.57399,13.9167,1.31856,13.9167,0.31348,13.9167,1.67072
13.9856,3.05595,,,13.9856,1.52364,13.9856,1.61659,13.9856,0.95938,13.9856,2.69070
14.0545,3.41457,,,14.0545,1.21149,14.0545,2.24203,14.0545,0.78720,14.0545,2.96219
14.1234,3.47729,,,14.1234,1.65399,14.1234,2.85501,14.1234,0.66910,14.1234,2.39939
14.1923,2.41171,,,14.1923,0.96225,14.1923,2.46324,14.1923,0.55633,14.1923,2.27550
14.2612,2.07933,,,14.2612,0.82174,14.2612,2.50197,14.2612,0.63057,14.2612,3.22216
14.3301,2.35677,,,14.3301,0.78511,14.3301,2.32625,14.3301,0.79340,14.3301,3.03812
14.3990,1.99518,,,14.3990,0.91177,14.3990,3.25930,14.3990,0.35215,14.3990,4.14274
14.4678,1.32324,,,14.4678,1.06358,14.4678,3.71464,14.4678,0.36697,14.4678,3.36067
14.5367,1.29224,,,14.5367,0.71807,14.5367,3.60599,14.5367,0.28285,14.5367,3.11477
14.6056,1.38540,,,14.6056,0.67229,14.6056,5.15055,14.6056,0.86108,14.6056,2.16873
14.6745,1.62595,,,14.6745,0.72085,14.6745,4.38565,14.6745,0.66821,14.6745,1.98251
14.7434,2.12722,,,14.7434,1.07511,14.7434,4.76304,14.7434,0.65741,14.7434,1.83823
14.8123,2.87350,,,14.8123,1.66985,14.8123,4.63860,14.8123,0.57709,14.8123,1.57386
14.8812,2.74746,,,14.8812,1.69793,14.8812,4.71917,14.8812,0.61242,14.8812,2.44501
14.9501,2.10034,,,14.9501,1.85116,14.9501,3.59426,14.9501,0.68247,14.9501,1.78050
15.0190,2.19524,,,15.0190,2.47230,15.0190,2.95171,15.0190,0.99736,15.0190,2.00224
15.0879,3.74565,,,15.0879,2.86845,15.0879,2.23314,15.0879,0.97228,15.0879,1.87817
15.1568,5.58807,,,15.1568,4.15031,15.1568,2.39898,15.1568,0.70569,15.1568,1.81854
15.2257,7.26522,,,15.2257,4.65506,15.2257,2.39009,15.2257,1.04194,15.2257,2.54313
15.2946,8.26299,,,15.2946,5.58626,15.2946,1.66592,15.2946,0.91458,15.2946,2.58078
15.3635,6.81221,,,15.3635,5.44472,15.3635,1.44698,15.3635,1.07391,15.3635,1.64755
15.4324,5.47923,,,15.4324,5.58251,15.4324,1.32370,15.4324,1.23742,15.4324,0.91248
15.5013,3.18275,,,15.5013,3.75211,15.5013,1.49959,15.5013,1.77778,15.5013,1.08907
15.5702,3.19953,,,15.5702,3.19819,15.5702,1.43567,15.5702,2.70701,15.5702,1.58321
15.6391,3.72293,,,15.6391,4.03237,15.6391,1.75822,15.6391,3.99821,15.6391,1.51322
15.7079,5.09968,,,15.7079,4.25431,15.7079,2.49402,15.7079,4.78745,15.7079,1.60885
15.7768,4.48291,,,15.7768,4.60486,15.7768,3.72854,15.7768,5.48235,15.7768,1.14748
15.8457,4.21919,,,15.8457,4.56591,15.8457,4.26057,15.8457,5.42460,15.8457,1.37030
15.9146,3.70916,,,15.9146,4.27775,15.9146,4.18307,15.9146,4.55847,15.9146,1.06796
15.9835,3.13294,,,15.9835,4.27747,15.9835,4.33662,15.9835,3.97673,15.9835,1.09477
16.0524,2.41217,,,16.0524,2.86349,16.0524,4.81054,16.0524,3.37999,16.0524,1.08063
16.1213,2.40758,,,16.1213,2.66690,16.1213,4.83268,16.1213,2.49967,16.1213,0.73734
16.1902,1.96494,,,16.1902,1.78679,16.1902,4.26879,16.1902,1.71911,16.1902,0.76047
16.2591,2.29027,,,16.2591,2.07414,16.2591,2.97307,16.2591,1.64576,16.2591,0.65247
16.3280,2.63939,,,16.3280,1.64929,16.3280,2.83994,16.3280,1.63025,16.3280,1.07862
