X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
3.5825,12.2908,3.5825,6.4071,3.5825,2.4952,3.5825,1.0631,3.58251,13.8304,3.58251,18.3640,3.5825,29.1076,3.5825,5.8454,3.5825,32.3715
3.6514,15.4067,3.6514,3.7331,3.6514,2.3423,3.6514,1.9570,,,3.65141,25.4295,3.6514,37.4389,3.6514,5.2019,3.6514,25.3185
3.7203,20.1086,3.7203,3.5391,3.7203,2.5095,3.7203,3.2112,,,3.72030,28.1179,3.7203,43.9702,3.7203,3.7736,3.7203,20.2004
3.7892,24.1910,3.7892,3.8092,3.7892,2.1530,3.7892,5.8659,,,3.78920,25.2897,3.7892,42.2090,3.7892,4.4231,3.7892,10.4186
3.8581,22.6367,3.8581,4.0867,3.8581,1.6710,3.8581,12.3620,,,3.85809,21.9219,3.8581,33.2638,3.8581,4.1740,3.8581,5.8516
3.9270,14.7744,3.9270,4.7439,3.9270,1.5216,3.9270,15.5316,,,3.92699,24.5305,3.9270,22.4678,3.9270,3.9928,3.9270,3.0224
3.9959,9.9662,3.9959,3.8692,3.9959,2.0373,3.9959,11.4804,,,3.99588,31.7376,3.9959,18.9558,3.9959,6.5360,3.9959,1.7695
4.0648,8.7606,4.0648,6.1142,4.0648,2.7662,4.0648,8.1343,,,4.06478,30.9181,4.0648,20.1977,4.0648,7.1093,4.0648,1.8887
4.1337,10.9733,4.1337,8.3824,4.1337,4.0312,4.1337,5.5623,,,4.13367,28.0603,4.1337,20.2068,4.1337,10.5994,4.1337,1.2084
4.2026,13.7851,4.2026,10.3236,4.2026,6.3124,4.2026,2.9998,,,4.20256,22.6074,4.2026,21.7100,4.2026,15.8431,4.2026,1.7902
4.2715,19.0802,4.2715,14.0770,4.2715,11.0175,4.2715,2.4577,,,4.27146,15.0941,4.2715,25.4130,4.2715,24.0750,4.2715,2.8939
4.3404,19.2877,4.3404,10.9027,4.3404,17.3714,4.3404,1.6136,,,,,4.3404,27.1979,4.3404,27.5419,4.3404,2.9109
4.4092,14.5288,4.4092,10.8039,4.4092,21.0899,4.4092,1.9948,,,,,4.4092,19.7112,4.4092,28.0192,4.4092,2.9641
4.4781,10.1194,4.4781,10.5887,4.4781,17.5263,4.4781,1.3003,,,,,4.4781,8.3149,4.4781,18.7753,4.4781,2.9169
4.5470,4.1345,4.5470,11.1084,4.5470,10.9446,4.5470,1.8184,,,,,4.5470,5.2523,4.5470,12.3638,4.5470,4.6861
4.6159,3.1230,4.6159,11.0198,4.6159,6.8586,4.6159,2.9800,,,,,4.6159,5.7008,4.6159,10.7628,4.6159,4.3818
4.6848,1.8081,4.6848,8.7917,4.6848,4.1630,4.6848,2.9206,,,,,4.6848,5.2723,4.6848,14.1290,4.6848,4.9992
4.7537,1.4522,4.7537,11.2072,4.7537,2.8204,4.7537,3.8233,,,,,4.7537,8.6051,4.7537,14.2981,4.7537,8.9870
4.8226,1.3664,4.8226,9.7503,4.8226,3.5744,4.8226,4.9911,,,,,4.8226,11.7917,4.8226,12.3714,4.8226,13.9845
4.8915,1.5222,4.8915,10.4035,4.8915,6.3157,4.8915,5.1655,,,,,4.8915,16.9982,4.8915,11.2095,4.8915,19.5264
4.9604,1.9706,4.9604,11.4343,4.9604,6.9146,4.9604,4.5198,,,,,4.9604,15.8251,4.9604,11.0273,4.9604,24.8997
5.0293,2.6520,5.0293,13.1505,5.0293,6.0403,5.0293,3.2419,,,,,5.0293,11.8341,5.0293,12.2620,5.0293,19.5598
5.0982,3.8388,5.0982,19.7218,5.0982,5.0515,5.0982,2.0619,,,,,5.0982,7.8362,5.0982,15.0770,5.0982,11.4520
5.1671,4.6558,5.1671,29.8110,5.1671,6.8474,5.1671,1.9639,,,,,5.1671,6.6872,5.1671,18.1168,5.1671,4.3412
5.2360,6.6002,5.2360,36.4622,5.2360,9.8987,5.2360,2.3604,,,,,5.2360,6.4857,5.2360,15.3797,5.2360,2.2448
5.3049,9.9087,5.3049,46.0723,5.3049,11.6556,5.3049,5.2781,,,,,5.3049,7.0600,5.3049,11.0328,5.3049,1.2548
5.3738,10.6571,5.3738,59.6718,5.3738,9.4296,5.3738,5.5282,,,,,5.3738,8.0905,5.3738,9.5484,5.3738,1.2042
5.4427,7.3258,5.4427,55.1289,5.4427,7.4325,5.4427,4.0869,,,,,5.4427,11.8253,5.4427,6.7845,5.4427,1.1111
5.5116,4.3930,5.5116,54.0061,5.5116,4.9286,5.5116,3.4184,,,,,5.5116,14.1672,5.5116,3.1901,5.5116,0.7299
5.5805,5.1945,5.5805,42.1840,5.5805,5.2334,5.5805,3.7988,,,,,5.5805,16.3005,5.5805,3.5957,5.5805,0.6799
5.6493,7.8503,5.6493,44.6465,5.6493,3.6805,5.6493,4.5233,,,,,5.6493,13.3671,5.6493,2.3969,5.6493,0.8318
5.7182,10.5277,5.7182,47.0997,5.7182,4.5189,5.7182,6.1886,,,,,5.7182,10.3554,5.7182,1.6583,5.7182,2.4380
5.7871,7.5795,5.7871,48.7339,5.7871,5.3492,5.7871,4.9143,,,,,5.7871,7.8560,5.7871,0.9812,5.7871,3.6730
5.8560,4.4060,5.8560,42.2118,5.8560,8.2170,5.8560,2.8722,,,,,5.8560,8.6518,5.8560,1.5043,5.8560,4.6567
5.9249,1.3325,5.9249,36.3789,5.9249,16.8420,5.9249,3.9776,,,,,5.9249,9.9922,5.9249,2.0811,5.9249,4.8321
5.9938,1.2359,5.9938,34.5423,5.9938,30.3116,5.9938,7.2571,,,,,5.9938,11.0699,5.9938,4.9909,5.9938,3.7812
6.0627,2.5360,6.0627,28.5222,6.0627,47.7994,6.0627,12.3878,,,,,6.0627,14.1337,6.0627,7.5813,6.0627,4.3229
6.1316,5.0807,6.1316,19.4067,6.1316,48.4844,6.1316,15.7661,,,,,6.1316,13.3086,6.1316,13.6005,6.1316,3.7765
6.2005,6.8042,6.2005,13.2580,6.2005,37.6033,6.2005,13.8436,,,,,6.2005,10.4708,6.2005,15.2985,6.2005,6.6198
6.2694,3.6375,6.2694,8.8434,6.2694,19.6383,6.2694,17.9324,,,,,6.2694,7.0661,6.2694,16.5382,6.2694,5.5866
6.3383,1.4789,6.3383,8.5546,6.3383,9.5625,6.3383,18.7893,,,,,6.3383,4.7551,6.3383,16.0537,6.3383,7.5302
6.4072,0.3076,6.4072,7.5625,6.4072,4.3881,6.4072,15.8335,,,,,6.4072,2.6943,6.4072,15.7655,6.4072,10.9314
6.4761,1.0621,6.4761,9.6526,6.4761,3.3839,6.4761,15.1622,,,,,6.4761,4.7736,6.4761,11.6202,6.4761,14.8901
6.5450,0.9587,6.5450,13.3337,6.5450,3.9493,6.5450,14.5859,,,,,6.5450,5.2388,6.5450,10.7548,6.5450,19.6836
6.6139,0.3770,6.6139,14.5105,6.6139,8.0544,6.6139,16.1533,,,,,6.6139,4.7235,6.6139,8.1368,6.6139,23.1246
6.6828,0.6327,6.6828,13.5326,6.6828,10.4889,6.6828,14.8639,,,,,6.6828,4.6084,6.6828,6.7539,6.6828,25.3976
6.7517,0.2965,6.7517,10.3436,6.7517,15.3949,6.7517,13.3796,,,,,6.7517,4.2143,6.7517,7.4936,6.7517,29.4322
6.8206,0.2424,6.8206,6.7990,6.8206,13.8636,6.8206,8.0647,,,,,6.8206,4.4515,6.8206,9.2925,6.8206,23.6605
6.8895,0.7973,6.8895,5.1337,6.8895,10.8608,6.8895,7.0791,,,,,6.8895,5.0724,6.8895,13.4931,6.8895,18.4452
6.9583,0.8654,6.9583,4.4969,6.9583,8.9325,6.9583,5.3169,,,,,6.9583,5.2200,6.9583,17.3701,6.9583,13.2804
7.0272,0.6949,7.0272,4.8955,7.0272,7.5640,7.0272,7.7849,,,,,7.0272,5.0991,7.0272,22.5837,7.0272,9.4335
7.0961,1.6688,7.0961,3.6200,7.0961,6.3407,7.0961,11.7281,,,,,7.0961,6.3499,7.0961,30.6819,7.0961,7.1717
7.1650,5.3933,7.1650,4.2102,7.1650,7.7193,7.1650,20.9198,,,,,7.1650,7.1925,7.1650,31.1827,7.1650,6.0640
7.2339,9.4763,7.2339,5.2706,7.2339,10.2151,7.2339,25.7593,,,,,7.2339,5.3589,7.2339,22.0488,7.2339,4.6428
7.3028,15.9601,7.3028,5.3175,7.3028,13.2909,7.3028,25.6402,,,,,7.3028,7.8054,7.3028,17.9187,7.3028,3.1645
7.3717,19.0252,7.3717,6.1960,7.3717,17.6709,7.3717,23.3608,,,,,7.3717,8.8850,7.3717,14.7405,7.3717,4.7575
7.4406,21.0369,7.4406,7.5641,7.4406,20.6497,7.4406,29.6108,,,,,7.4406,9.7780,7.4406,16.4772,7.4406,6.5116
