X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
6.3383,9.4985,6.3383,2.3629,6.3383,5.6038,6.3383,15.3581,6.3383,1.3286,6.3383,28.8043
6.4072,12.3967,6.4072,1.7461,6.4072,7.4044,6.4072,17.4466,6.4072,0.8801,6.4072,32.4296
6.4761,11.9891,6.4761,2.0860,6.4761,7.7173,6.4761,27.8209,6.4761,1.9354,6.4761,28.0841
6.5450,16.5030,6.5450,1.0258,6.5450,10.8345,6.5450,38.7510,6.5450,1.8380,6.5450,23.9204
6.6139,18.2405,6.6139,1.3370,6.6139,18.5143,6.6139,52.0937,6.6139,3.3548,6.6139,23.0171
6.6828,18.3698,6.6828,0.9730,6.6828,26.3516,6.6828,50.0468,6.6828,5.8102,6.6828,21.7827
6.7517,17.1544,6.7517,1.0369,6.7517,30.5021,6.7517,35.3485,6.7517,11.4247,6.7517,22.9649
6.8206,15.1275,6.8206,1.4333,6.8206,26.4966,6.8206,22.6531,6.8206,13.3763,6.8206,20.9612
6.8895,10.0206,6.8895,2.8207,6.8895,20.1392,6.8895,16.8154,6.8895,18.0994,6.8895,18.4261
6.9583,8.4997,6.9583,4.3520,6.9583,13.7278,6.9583,19.2652,6.9583,18.9013,6.9583,18.7479
7.0272,6.1808,7.0272,3.5556,7.0272,8.9660,7.0272,21.6337,7.0272,14.0131,7.0272,14.8624
7.0961,5.2052,7.0961,2.2852,7.0961,7.9155,7.0961,27.5408,7.0961,12.3912,7.0961,11.8681
7.1650,3.3612,7.1650,2.3942,7.1650,8.4890,7.1650,26.0784,7.1650,12.1621,7.1650,10.3332
7.2339,3.1012,7.2339,3.9725,7.2339,7.5323,7.2339,16.9200,7.2339,11.5832,7.2339,11.8277
7.3028,4.1590,7.3028,7.5510,7.3028,8.6538,7.3028,12.9196,7.3028,6.3536,7.3028,12.6121
7.3717,2.9714,7.3717,6.4830,7.3717,11.4794,7.3717,13.1639,7.3717,5.1729,7.3717,10.0130
7.4406,3.5957,7.4406,5.1653,7.4406,12.8567,7.4406,14.1301,7.4406,5.6255,7.4406,7.1036
7.5095,2.9883,7.5095,5.1368,7.5095,21.8414,7.5095,15.4797,7.5095,5.5347,7.5095,6.1698
7.5784,1.8318,7.5784,3.5956,7.5784,25.4021,7.5784,13.2948,7.5784,4.8861,7.5784,5.8540
7.6473,3.6984,7.6473,3.2428,7.6473,24.1220,7.6473,11.1782,7.6473,2.7959,7.6473,5.1305
7.7162,7.0917,7.7162,3.4686,7.7162,19.8243,7.7162,9.3030,7.7162,3.6738,7.7162,6.3742
