Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
5.8560,9.7389,5.8560,8.0972,5.8560,6.7126,5.8560,3.1449,5.8560,30.0218,5.8560,5.0583
5.9249,9.8729,5.9249,13.1816,5.9249,4.0771,5.9249,4.6510,5.9249,29.6562,5.9249,3.3845
5.9938,8.9614,5.9938,20.0380,5.9938,2.6530,5.9938,4.8141,5.9938,33.5289,5.9938,3.1767
6.0627,8.4920,6.0627,25.4012,6.0627,2.6459,6.0627,5.5330,6.0627,43.5738,6.0627,3.2869
6.1316,5.0197,6.1316,32.8851,6.1316,3.9197,6.1316,6.0483,6.1316,64.9597,6.1316,2.4143
6.2005,2.8986,6.2005,36.4564,6.2005,5.4162,6.2005,5.9153,6.2005,88.5379,6.2005,1.9947
6.2694,3.1203,6.2694,32.6943,6.2694,5.2116,6.2694,7.8651,6.2694,92.2844,6.2694,4.3034
6.3383,3.1670,6.3383,27.1897,6.3383,10.0887,6.3383,8.7170,6.3383,70.0314,6.3383,6.0039
6.4072,2.5448,6.4072,22.4911,6.4072,12.9059,6.4072,8.2733,6.4072,41.4000,6.4072,13.6324
6.4761,3.1854,6.4761,22.6595,6.4761,10.8095,6.4761,7.7378,6.4761,22.8223,6.4761,18.5500
6.5450,3.3310,6.5450,24.7854,6.5450,10.4645,6.5450,7.9795,6.5450,18.1373,6.5450,18.2197
6.6139,3.4751,6.6139,22.4893,6.6139,7.2994,6.6139,10.8620,6.6139,13.5611,6.6139,22.2461
6.6828,4.2940,6.6828,19.2105,6.6828,5.2468,6.6828,11.8073,6.6828,10.8066,6.6828,22.5127
6.7517,4.9112,6.7517,14.9373,6.7517,5.3591,6.7517,15.3527,6.7517,8.5668,6.7517,16.5113
6.8206,4.3193,6.8206,8.6695,6.8206,5.9471,6.8206,15.6495,6.8206,9.7833,6.8206,9.5883
6.8894,5.6238,6.8894,8.2200,6.8894,5.5853,6.8894,14.3615,6.8894,7.2147,6.8894,6.9817
6.9583,9.1762,6.9583,8.2371,6.9583,5.1409,6.9583,11.3775,6.9583,7.3331,6.9583,5.7184
7.0272,12.6713,7.0272,9.8636,7.0272,3.7695,7.0272,8.7898,7.0272,7.0368,7.0272,5.4257
7.0961,18.9476,7.0961,9.8018,7.0961,3.1095,7.0961,5.2076,7.0961,4.8958,7.0961,9.0619
7.1650,22.1865,7.1650,10.6048,7.1650,6.1849,7.1650,5.1525,7.1650,2.3772,7.1650,9.6929
7.2339,21.3650,7.2339,8.4134,7.2339,7.4997,7.2339,4.4282,7.2339,3.1343,7.2339,11.4572
7.3028,12.3540,7.3028,5.6368,7.3028,11.9773,7.3028,3.8979,7.3028,5.3833,7.3028,12.7260
7.3717,9.9569,7.3717,3.7768,7.3717,16.9500,7.3717,4.8311,7.3717,6.6062,7.3717,13.9438
7.4406,10.7656,7.4406,4.4847,7.4406,22.2264,7.4406,8.1039,7.4406,8.2809,7.4406,11.9159
7.5095,14.0106,7.5095,4.9170,7.5095,23.1263,7.5095,13.3751,7.5095,9.8991,7.5095,7.5919
7.5784,18.3724,7.5784,4.9776,7.5784,25.7410,7.5784,24.4683,7.5784,8.5214,7.5784,7.5698
7.6473,16.6641,7.6473,4.6739,7.6473,28.1153,7.6473,31.1102,7.6473,6.6489,7.6473,8.7228
7.7162,18.9793,7.7162,6.1912,7.7162,34.8250,7.7162,31.6232,7.7162,4.8991,7.7162,12.5207
7.7851,19.8009,7.7851,7.3255,7.7851,39.7589,7.7851,21.7661,7.7851,4.2139,7.7851,16.8317
7.8540,21.5111,7.8540,9.1942,7.8540,46.4991,7.8540,14.8771,7.8540,3.6122,7.8540,17.3764
7.9229,20.3194,7.9229,11.1671,7.9229,43.3306,7.9229,9.6639,7.9229,3.1307,7.9229,21.5461
7.9918,16.4140,7.9918,13.4510,7.9918,39.9868,7.9918,9.2542,7.9918,4.3908,7.9918,26.7873
8.0607,15.0173,8.0607,16.0253,8.0607,31.0421,8.0607,8.0055,8.0607,4.7992,8.0607,27.9279
8.1296,13.1465,8.1296,16.9265,8.1296,25.6861,8.1296,7.1901,8.1296,5.8565,8.1296,28.2257
8.1984,11.3555,8.1984,17.3037,8.1984,15.1923,8.1984,7.5484,8.1984,6.1631,8.1984,31.8636
8.2673,9.5845,8.2673,16.1691,8.2673,10.8283,8.2673,6.7880,8.2673,6.7812,8.2673,33.7793
8.3362,9.5845,8.3362,13.3025,8.3362,9.2940,8.3362,6.1927,8.3362,7.3567,8.3362,31.0371
8.4051,11.9309,8.4051,15.7259,8.4051,7.2219,8.4051,7.5786,8.4051,7.8185,8.4051,27.0207
8.4740,14.8510,8.4740,17.4252,8.4740,10.0107,8.4740,9.2830,8.4740,5.6628,8.4740,21.9763
8.5429,16.0868,8.5429,19.3999,8.5429,10.4348,8.5429,7.4473,8.5429,4.9604,8.5429,15.3307
8.6118,14.2642,8.6118,19.2598,8.6118,9.7365,8.6118,6.3903,8.6118,5.6986,8.6118,9.5111
8.6807,8.2124,8.6807,13.1022,8.6807,7.0990,8.6807,8.3013,8.6807,4.0181,8.6807,8.3821
8.7496,7.5381,8.7496,10.0343,8.7496,7.4877,8.7496,10.0641,8.7496,3.4518,8.7496,9.3847
8.8185,7.5442,8.8185,6.9509,8.8185,10.3076,8.8185,12.4068,8.8185,3.5401,8.8185,9.1194
8.8874,7.7507,8.8874,5.2056,8.8874,13.1915,8.8874,12.4806,8.8874,3.8633,8.8874,7.1892
8.9563,10.6658,8.9563,4.9844,8.9563,15.5022,8.9563,7.4802,8.9563,4.0787,8.9563,3.2485
9.0252,7.8114,9.0252,3.9909,9.0252,19.2705,9.0252,4.4711,9.0252,7.5319,9.0252,2.2168
9.0941,7.0367,9.0941,4.7618,9.0941,20.7983,9.0941,4.2306,9.0941,7.9032,9.0941,2.5637
9.1630,5.7495,9.1630,7.3217,9.1630,22.0854,9.1630,3.7666,9.1630,9.5591,9.1630,3.9924
9.2319,4.1365,9.2319,10.0140,9.2319,27.0230,9.2319,3.6085,9.2319,10.6693,9.2319,3.3469
9.3008,4.7374,9.3008,15.8436,9.3008,29.3857,9.3008,3.6079,9.3008,8.7966,9.3008,1.9902
9.3697,6.7366,9.3697,24.7215,9.3697,27.8281,9.3697,4.5971,9.3697,7.1951,9.3697,2.2940
9.4385,5.7324,9.4385,28.8170,9.4385,24.5255,9.4385,8.5998,9.4385,4.8357,9.4385,3.4279
9.5074,6.0260,9.5074,29.9812,9.5074,20.1520,9.5074,12.5925,9.5074,3.5312,9.5074,4.1454
9.5763,7.0062,9.5763,26.7735,9.5763,19.3752,9.5763,21.5587,9.5763,3.6458,9.5763,5.1640
9.6452,5.6130,9.6452,20.5300,9.6452,22.8243,9.6452,40.7622,9.6452,2.4750,9.6452,5.2408
9.7141,3.8974,9.7141,13.9100,9.7141,30.7159,9.7141,58.3542,9.7141,2.3069,9.7141,5.0037
9.7830,5.2514,9.7830,10.4880,9.7830,41.1296,9.7830,66.2567,9.7830,1.5620,9.7830,5.5311
9.8519,3.1392,9.8519,11.1937,9.8519,40.7329,9.8519,64.0443,9.8519,1.5392,9.8519,5.6093
9.9208,3.2498,9.9208,12.4069,9.9208,33.3369,9.9208,68.9580,9.9208,1.1682,9.9208,5.5497
9.9897,4.8782,9.9897,16.4176,9.9897,28.4551,9.9897,51.0312,9.9897,1.4820,9.9897,6.1268
10.0586,3.8290,10.0586,16.1908,10.0586,23.7610,10.0586,30.2336,10.0586,1.2463,10.0586,8.9988
10.1275,6.5110,10.1275,12.8629,10.1275,19.1811,10.1275,22.4176,10.1275,0.7393,10.1275,11.7028
10.1964,6.6088,10.1964,10.0089,10.1964,18.9894,10.1964,19.8080,10.1964,1.9917,10.1964,14.2034
10.2653,7.5882,10.2653,9.9484,10.2653,21.4301,10.2653,16.4342,10.2653,2.6379,10.2653,11.3478
10.3342,10.9586,10.3342,11.4405,10.3342,22.7265,10.3342,12.1271,10.3342,3.8779,10.3342,8.0119
10.4031,14.4055,10.4031,13.1159,10.4031,27.3148,10.4031,7.9200,10.4031,3.4425,10.4031,10.3131
10.4720,15.9279,10.4720,10.4177,10.4720,30.8310,10.4720,4.7460,10.4720,3.5991,10.4720,16.9221
10.5409,19.9843,10.5409,7.9551,10.5409,33.2046,10.5409,4.1542,10.5409,3.7267,10.5409,18.3762
10.6098,29.4795,10.6098,7.4530,10.6098,34.1733,10.6098,4.4602,10.6098,4.3552,10.6098,19.3200
10.6786,33.0662,10.6786,7.7230,10.6786,31.2024,10.6786,4.7992,10.6786,4.4429,10.6786,17.0514
10.7475,29.2226,10.7475,9.9747,10.7475,22.5036,10.7475,5.1353,10.7475,5.0485,10.7475,11.0814
10.8164,25.2142,10.8164,11.9685,10.8164,13.8279,10.8164,5.7065,10.8164,3.6549,10.8164,7.7769
10.8853,23.7784,10.8853,14.5140,10.8853,6.5441,10.8853,6.8783,10.8853,3.5536,10.8853,6.1666
10.9542,19.6725,10.9542,29.5823,10.9542,6.2089,10.9542,5.8326,10.9542,3.1693,10.9542,8.8556
11.0231,19.3659,11.0231,38.4911,11.0231,12.4036,11.0231,6.0621,11.0231,4.3917,11.0231,8.1943
11.0920,16.8606,,,11.0920,16.3294,11.0920,10.3015,11.0920,3.5937,11.0920,9.7051
11.1609,15.0921,,,11.1609,18.8811,11.1609,9.9035,11.1609,4.2697,11.1609,10.0443
11.2298,13.7786,,,11.2298,13.9072,11.2298,10.7992,11.2298,2.1748,11.2298,6.7767
11.2987,10.4703,,,11.2987,10.7029,11.2987,9.9778,11.2987,1.8800,11.2987,8.0147
11.3676,7.1853,,,11.3676,5.9784,11.3676,13.2397,11.3676,1.2294,11.3676,10.6721
11.4365,8.1607,,,11.4365,6.3653,11.4365,13.1399,11.4365,1.6598,11.4365,13.7269
11.5054,8.4037,,,11.5054,4.0414,11.5054,11.7304,11.5054,2.5615,11.5054,19.9267
11.5743,8.0058,,,11.5743,4.8908,11.5743,10.3838,11.5743,2.8188,11.5743,25.9394
11.6432,6.4513,,,11.6432,7.5008,11.6432,7.0379,11.6432,4.9581,11.6432,29.2656
11.7121,5.4006,,,11.7121,9.2922,11.7121,5.4178,11.7121,5.1587,11.7121,30.0461
11.7810,3.4803,,,11.7810,10.6748,11.7810,7.7438,11.7810,7.2631,11.7810,26.9971
11.8499,2.0420,,,11.8499,8.8170,11.8499,7.4409,11.8499,9.4357,11.8499,25.0957
11.9187,3.3237,,,11.9187,9.2763,11.9187,9.4059,11.9187,12.3388,11.9187,20.0224
11.9876,4.4649,,,11.9876,7.1315,11.9876,9.5922,11.9876,16.8230,11.9876,21.5941
12.0565,5.8348,,,12.0565,7.5460,12.0565,11.5344,12.0565,20.1606,12.0565,24.0421
12.1254,6.8309,,,12.1254,6.5559,12.1254,15.3249,12.1254,27.3987,12.1254,30.3398
12.1943,9.1318,,,12.1943,9.6778,12.1943,16.3976,12.1943,39.2950,12.1943,29.5313
