Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
4.8915,3.0911,4.8915,1.00685,4.8915,3.19207,4.8915,6.0031,4.8915,2.1060,4.8915,2.6556
4.9604,2.6899,4.9604,1.47196,4.9604,2.88616,4.9604,5.4104,4.9604,2.6704,4.9604,2.2703
5.0293,3.5080,5.0293,1.98466,5.0293,2.85616,5.0293,3.6562,5.0293,3.1890,5.0293,2.3524
5.0982,4.9944,5.0982,1.65509,5.0982,3.17418,5.0982,2.3321,5.0982,2.8758,5.0982,2.6777
5.1671,5.1189,5.1671,2.06706,5.1671,2.53605,5.1671,1.6982,5.1671,3.6727,5.1671,2.4444
5.2360,6.5349,5.2360,2.45227,5.2360,2.33472,5.2360,1.2725,5.2360,3.9936,5.2360,2.5971
5.3049,6.3086,5.3049,2.72998,5.3049,1.82735,5.3049,0.8418,5.3049,4.3205,5.3049,2.7769
5.3738,6.0720,5.3738,2.34698,5.3738,2.26226,5.3738,0.8453,5.3738,4.1513,5.3738,3.2956
5.4427,6.9088,5.4427,2.86507,5.4427,1.48392,5.4427,1.1336,5.4427,3.7792,5.4427,5.7154
5.5116,6.5233,5.5116,2.52344,5.5116,1.76302,5.5116,0.9737,5.5116,4.7452,5.5116,6.9403
5.5805,5.7246,5.5805,2.26009,5.5805,2.21761,5.5805,1.2790,5.5805,5.8865,5.5805,6.9922
5.6493,4.6280,5.6493,1.90387,5.6493,2.13395,5.6493,1.7846,5.6493,6.0271,5.6493,6.6711
5.7182,3.8508,5.7182,1.25546,5.7182,2.33982,5.7182,1.7730,5.7182,6.7172,5.7182,4.9054
5.7871,2.8875,5.7871,1.48153,5.7871,2.48071,5.7871,2.8051,5.7871,4.7847,5.7871,3.0633
5.8560,2.5187,5.8560,2.25943,5.8560,2.38104,5.8560,3.5603,5.8560,3.2494,5.8560,2.4728
5.9249,1.5443,5.9249,2.03832,5.9249,2.53222,5.9249,3.6775,5.9249,3.1229,5.9249,1.4146
5.9938,2.4385,5.9938,1.79607,5.9938,1.74729,5.9938,3.9496,5.9938,4.1620,5.9938,1.6120
6.0627,1.9454,6.0627,1.94548,6.0627,2.07878,6.0627,3.9928,6.0627,4.2003,6.0627,1.2725
6.1316,1.6667,6.1316,2.07025,6.1316,2.32666,6.1316,4.3753,6.1316,3.5920,6.1316,0.9864
6.2005,1.7363,6.2005,1.74067,6.2005,3.26426,6.2005,5.6219,6.2005,3.5777,6.2005,1.1154
6.2694,1.5480,6.2694,2.57199,6.2694,3.25959,6.2694,5.9114,6.2694,2.8052,6.2694,1.6942
6.3383,1.2763,6.3383,3.33951,6.3383,3.77833,6.3383,4.6377,6.3383,2.7766,6.3383,1.1674
6.4072,1.5808,6.4072,2.85818,6.4072,3.85703,6.4072,3.8650,6.4072,3.5422,6.4072,1.3458
6.4761,1.9958,6.4761,3.22395,6.4761,5.20130,6.4761,2.5550,6.4761,2.7096,6.4761,2.6810
6.5450,2.8095,6.5450,3.12582,6.5450,5.92015,6.5450,2.0082,6.5450,2.4841,6.5450,2.5519
6.6139,3.4327,6.6139,4.00544,6.6139,6.59818,6.6139,2.0006,6.6139,3.8565,6.6139,2.1064
6.6828,3.5080,6.6828,4.19310,6.6828,7.92035,6.6828,1.6336,6.6828,4.2440,6.6828,1.9892
6.7517,3.8816,6.7517,4.93300,6.7517,8.69458,6.7517,2.0119,6.7517,4.0760,6.7517,1.6396
6.8206,4.4033,6.8206,5.89353,6.8206,7.49208,6.8206,2.0380,6.8206,3.8073,6.8206,2.5472
6.8894,3.7929,6.8894,5.67499,6.8894,6.23143,6.8894,2.4017,6.8894,3.3999,6.8894,2.9833
6.9583,2.6967,6.9583,5.57757,6.9583,4.24943,6.9583,3.1649,6.9583,2.6210,6.9583,1.7550
7.0272,2.9267,7.0272,6.13637,7.0272,3.65212,7.0272,2.5469,7.0272,1.6621,7.0272,2.2989
7.0961,3.1886,7.0961,5.38830,7.0961,2.36589,7.0961,2.6381,7.0961,2.3779,7.0961,2.1153
7.1650,3.7386,7.1650,5.47713,7.1650,2.68456,7.1650,2.3645,7.1650,1.7605,7.1650,2.2001
7.2339,4.9366,7.2339,5.96628,7.2339,2.66721,7.2339,2.3006,7.2339,1.9781,7.2339,2.1321
7.3028,6.5058,7.3028,6.43863,7.3028,2.67642,7.3028,2.9281,7.3028,2.0819,7.3028,2.0716
7.3717,7.9999,7.3717,4.40174,7.3717,4.13258,7.3717,2.3741,7.3717,2.1734,7.3717,2.2274
7.4406,10.5749,7.4406,3.41358,7.4406,5.79994,7.4406,3.3224,7.4406,2.1066,7.4406,1.3648
7.5095,11.0649,7.5095,2.86037,7.5095,6.74940,7.5095,4.2689,7.5095,1.7531,7.5095,1.5702
7.5784,8.6379,7.5784,3.23563,7.5784,7.54268,7.5784,4.9728,7.5784,2.3241,7.5784,1.8356
7.6473,5.2319,7.6473,3.55471,7.6473,6.27818,7.6473,7.4191,7.6473,2.5507,7.6473,1.8915
7.7162,3.3903,7.7162,3.28687,7.7162,5.88434,7.7162,9.1183,7.7162,4.0631,7.7162,2.4434
7.7851,1.7273,7.7851,3.95635,7.7851,6.05265,7.7851,9.1248,7.7851,5.5374,7.7851,2.5285
7.8540,1.3786,7.8540,3.96252,7.8540,5.26273,7.8540,6.9729,7.8540,5.5336,7.8540,2.0032
7.9229,0.9032,7.9229,3.91695,7.9229,4.50279,7.9229,5.7799,7.9229,4.4806,7.9229,3.2477
7.9918,0.8941,7.9918,4.07142,7.9918,3.58525,7.9918,3.5124,7.9918,2.5477,7.9918,2.7913
8.0607,1.3035,8.0607,4.51900,8.0607,2.96540,8.0607,3.9926,8.0607,2.8145,8.0607,2.8738
8.1296,1.6637,8.1296,4.96581,8.1296,3.23264,8.1296,4.2309,8.1296,2.1914,8.1296,3.5502
8.1984,1.3261,8.1984,4.83539,8.1984,2.65278,8.1984,3.2292,8.1984,1.4429,8.1984,4.0987
8.2673,1.2729,8.2673,4.97768,8.2673,3.65591,8.2673,2.3792,8.2673,1.0550,8.2673,4.2272
8.3362,1.1825,8.3362,5.11266,8.3362,4.67192,8.3362,2.8410,8.3362,1.2625,8.3362,3.3233
8.4051,1.1476,8.4051,4.50481,8.4051,5.30391,8.4051,2.7862,8.4051,1.7240,8.4051,4.3985
8.4740,1.0621,8.4740,4.34865,8.4740,6.53990,8.4740,2.3968,8.4740,2.4129,8.4740,3.9459
8.5429,0.9860,8.5429,4.44901,8.5429,7.29059,8.5429,3.0733,8.5429,3.0164,8.5429,3.3732
8.6118,1.2525,8.6118,4.69404,8.6118,6.71404,8.6118,2.9044,8.6118,3.5820,8.6118,3.1260
8.6807,0.7489,8.6807,5.56838,8.6807,4.85936,8.6807,1.9536,8.6807,5.4268,8.6807,2.5401
8.7496,0.9418,8.7496,7.17163,8.7496,4.54420,8.7496,2.1523,8.7496,7.6501,8.7496,2.7089
8.8185,0.5403,8.8185,7.58844,8.8185,4.29869,8.8185,2.3068,8.8185,9.9317,8.8185,2.4581
8.8874,0.9851,8.8874,8.45823,8.8874,3.72756,8.8874,1.4324,8.8874,11.2397,8.8874,3.5249
8.9563,1.0548,8.9563,8.16653,8.9563,3.25017,8.9563,1.6847,8.9563,9.6693,8.9563,3.1260
9.0252,1.0835,9.0252,6.72124,9.0252,3.17770,9.0252,1.4621,9.0252,8.0409,9.0252,4.8247
9.0941,1.1904,9.0941,4.48506,9.0941,3.10955,9.0941,2.2691,9.0941,7.1678,9.0941,4.6477
9.1630,1.0808,9.1630,4.10233,9.1630,3.57135,9.1630,1.8519,9.1630,5.7898,9.1630,5.5914
9.2319,0.7096,9.2319,2.73052,9.2319,3.45334,9.2319,1.3139,9.2319,4.2991,9.2319,7.0955
9.3008,0.8846,9.3008,2.31161,9.3008,3.67163,9.3008,1.2058,9.3008,3.9340,9.3008,7.4422
9.3697,1.0637,9.3697,2.60109,9.3697,4.07697,9.3697,1.6854,9.3697,3.1228,9.3697,8.1364
9.4385,0.8203,9.4385,2.81417,9.4385,3.61917,9.4385,2.2717,9.4385,2.3529,9.4385,8.1357
9.5074,0.9600,9.5074,2.69197,9.5074,4.31601,9.5074,2.5510,9.5074,2.2752,9.5074,5.5475
9.5763,1.0017,9.5763,2.85793,9.5763,4.34809,9.5763,2.4654,9.5763,1.9390,9.5763,4.3520
9.6452,0.9339,9.6452,2.34380,9.6452,4.25901,9.6452,2.1791,9.6452,1.4315,9.6452,2.0224
9.7141,0.6678,9.7141,2.44362,9.7141,4.15454,9.7141,1.7375,9.7141,2.5338,9.7141,1.2165
9.7830,0.9640,9.7830,3.06545,9.7830,3.58498,9.7830,2.5731,9.7830,1.9591,9.7830,0.5119
9.8519,1.2068,9.8519,3.37897,9.8519,2.91923,9.8519,2.5030,9.8519,1.7157,9.8519,0.4583
