,condition,sample_num,cell_a,cell_b,edge_angle_rad,mean_intensity,mean_int_minus_bkgd,mean_int_no_verts,mean_int_no_verts_minus_bkgd
333,fat2N1032,05,162,158,1.319292470798566,14.961342828077314,8.800603428972263,13.637059724349157,7.4763203252441075
334,fat2N1032,05,164,141,0.3547056520109404,11.181451612903226,5.020712213798176,,
335,fat2N1032,05,164,146,0.2650428598974545,10.2680608365019,4.107321437396851,8.06532663316583,1.90458723406078
336,fat2N1032,05,164,158,1.0819439724671487,10.589779005524862,4.4290396064198125,7.829787234042553,1.669047834937503
337,fat2N1032,05,165,160,1.0261455400698787,8.407360406091371,2.246621006986321,6.876086956521739,0.7153475574166892
338,fat2N1032,05,165,151,0.9137213910832429,8.04185520361991,1.8811158045148604,5.934333958724203,-0.2264054403808471
339,fat2N1032,05,166,164,1.5046280030617394,12.940740740740742,6.780001341635692,12.016172506738544,5.855433107633494
340,fat2N1032,05,166,141,0.18534794999569476,12.33695652173913,6.176217122634081,,
341,fat2N1032,05,166,155,0.631974241818603,9.752530933633295,3.5917915345282454,9.509025270758123,3.348285871653073
342,fat2N1032,05,167,153,0.4878364386596421,8.439735099337748,2.2789957002326977,8.033096926713949,1.8723575276088988
343,fat2N1032,05,167,154,0.7693567587508046,10.660399529964748,4.499660130859698,7.654296875,1.4935574758949501
344,fat2N1032,05,168,166,1.5102643070127895,6.640425531914894,0.47968613280984407,4.5174825174825175,-1.6432568816225324
345,fat2N1032,05,168,155,0.4339533693938966,10.737864077669903,4.577124678564853,10.257042253521126,4.096302854416076
346,fat2N1032,05,168,156,0.49337862277752187,8.93560606060606,2.7748666615010107,8.13852813852814,1.9777887394230893
347,fat2N1032,05,169,152,0.06512516333438567,13.757062146892656,7.596322747787606,8.772727272727273,2.6119878736222235
348,fat2N1032,05,169,154,1.0283647568049465,15.486956521739131,9.32621712263408,10.03347280334728,3.87273340424223
349,fat2N1032,05,169,159,0.7335927066064472,10.338957055214724,4.178217656109674,7.025477707006369,0.8647383079013196
350,fat2N1032,05,171,165,1.382574821490126,14.171610169491526,8.010870770386475,12.09433962264151,5.93360022353646
351,fat2N1032,05,171,169,1.1978086049948355,17.717754172989377,11.557014773884326,9.659638554216867,3.4988991551118174
352,fat2N1032,05,171,151,0.41947746175536094,7.7618213660245186,1.6010819669194687,6.4035087719298245,0.24276937282477462
353,fat2N1032,05,171,159,0.49934672168012995,8.130057803468208,1.9693184043631584,5.573099415204679,-0.5876399839003712
354,fat2N1032,05,172,160,0.26504285989745435,8.17588932806324,2.0151499289581905,5.96,-0.2007393991050499
355,fat2N1032,05,172,165,1.1856388204314223,11.679927667269439,5.519188268164389,14.232758620689655,8.072019221584604
356,fat2N1032,05,172,168,1.4801364395941514,7.235565819861431,1.0748264207563816,7.395264116575592,1.234524717470542
357,fat2N1032,05,172,156,0.4636476090008061,7.532338308457711,1.3715989093526613,5.571428571428571,-0.5893108276764787
358,fat2N1032,05,173,162,0.8760580505981934,9.5890625,3.428323100894951,7.450980392156863,1.290240993051813
359,fat2N1032,05,173,164,1.2988579051404006,8.112313937753722,1.9515745386486723,6.75,0.5892606008949501
360,fat2N1032,05,173,158,0.0730405653031192,11.91186440677966,5.75112500767461,14.467532467532468,8.306793068427417
361,fat2N1032,05,174,167,0.8779167845170952,10.600867678958785,4.440128279853735,8.184482758620689,2.023743359515639
362,fat2N1032,05,174,169,1.0149255176407388,17.495951417004047,11.335212017898996,11.494640122511486,5.333900723406436
363,fat2N1032,05,174,154,0.22679884805388587,23.691275167785236,17.530535768680185,,
364,fat2N1032,05,176,166,0.3501666760901168,13.274193548387096,7.113454149282046,7.342553191489362,1.181813792384312
365,fat2N1032,05,176,168,0.7578821741119937,9.906130268199234,3.7453908690941846,9.1506456241033,2.9899062249982498
366,fat2N1032,05,177,165,0.3734971461064775,10.317375886524824,4.156636487419774,5.840579710144928,-0.32015968896012215
367,fat2N1032,05,177,171,0.8097835725701668,17.831189710610932,11.670450311505881,23.060728744939272,16.89998934583422
368,fat2N1032,05,178,165,0.43833655985795783,10.703180212014134,4.542440812909084,,
369,fat2N1032,05,178,172,0.4825132950224769,9.832993890020367,3.672254490915317,9.587774294670846,3.4270348955657957
370,fat2N1032,05,178,177,1.5031033041009279,11.983585858585858,5.822846459480808,11.807017543859649,5.646278144754599
371,fat2N1032,05,179,164,0.39263749776012685,10.975342465753425,4.814603066648375,10.816793893129772,4.656054494024722
372,fat2N1032,05,179,166,0.3893167218331408,24.21752265861027,18.05678325950522,17.2,11.039260600894949
373,fat2N1032,05,179,173,1.1659045405098132,11.48512585812357,5.324386459018521,6.134615384615385,-0.026124014489664837
374,fat2N1032,05,179,176,1.2939981681629065,12.364077669902912,6.203338270797862,5.869415807560137,-0.29132359154491283
375,fat2N1032,05,180,169,0.42729998798178537,17.872976338729764,11.712236939624713,8.69409282700422,2.5333534278991694
376,fat2N1032,05,180,171,0.20232162837830375,20.634266886326195,14.473527487221144,15.838951310861423,9.678211911756375
377,fat2N1032,05,180,174,1.238736859252011,14.066666666666666,7.905927267561617,7.8478260869565215,1.6870866878514716
