,position (um),Ecad intensity,Abi intensity
258,17.7748,16.5617,6.878
259,17.8437,14.5057,5.7698
260,17.9126,13.9472,5.0603
261,17.9815,17.0962,5.3027
262,18.0504,19.7967,4.4832
263,18.1193,17.9957,3.4621
264,18.1881,20.2533,2.9474
265,18.257,18.0733,3.3073
266,18.3259,19.1388,2.8922
267,18.3948,18.7075,1.8486
268,18.4637,17.4713,1.9632
269,18.5326,17.6857,2.2057
270,18.6015,14.9989,2.1288
271,18.6704,14.9658,2.3012
272,18.7393,14.9938,2.3094
273,18.8082,19.6315,1.8119
274,18.8771,18.0452,1.3378
275,18.946,17.1614,1.4512
276,19.0149,15.319,1.9913
277,19.0838,13.5542,2.8972
278,19.1527,14.5145,3.544
279,19.2216,12.9421,3.181
280,19.2905,11.7016,3.2279
281,19.3594,11.7257,3.1631
282,19.4282,11.4091,3.7629
283,19.4971,10.7908,2.6178
284,19.566,10.0865,2.6072
285,19.6349,11.0256,2.1242
286,19.7038,9.7541,3.0593
287,19.7727,8.9656,3.7899
288,19.8416,9.4353,3.7344
289,19.9105,7.6827,3.8076
290,19.9794,8.0079,3.0349
291,20.0483,10.1351,2.3184
292,20.1172,9.6915,2.7854
293,20.1861,9.6138,2.9752
294,20.255,7.5766,3.373
295,20.3239,8.2832,3.0733
296,20.3928,9.6319,2.5977
297,20.4617,10.1742,3.9801
298,20.5306,8.7529,4.0254
299,20.5995,8.1563,4.6431
300,20.6683,8.6939,3.8249
301,20.7372,8.6929,3.827
302,20.8061,11.8623,3.8516
303,20.875,16.3961,5.0885
304,20.9439,19.4539,6.0316
305,21.0128,19.2397,6.8052
306,21.0817,22.3112,6.4899
307,21.1506,24.3859,5.6079
308,21.2195,25.4472,3.861
309,21.2884,21.4862,3.6337
310,21.3573,19.6029,3.0361
311,21.4262,18.6636,3.0493
312,21.4951,15.7769,2.9701
313,21.564,14.1629,2.2447
314,21.6329,13.7014,2.4764
315,21.7018,12.805,2.7864
316,21.7707,10.5999,2.1555
317,21.8396,13.445,1.947
318,21.9084,13.6446,2.2958
319,21.9773,12.24,2.4406
320,22.0462,10.65,2.1028
321,22.1151,9.119,2.1676
322,22.184,11.8201,2.1114
323,22.2529,10.2686,1.5517
324,22.3218,11.3326,1.3042
325,22.3907,13.1226,1.0421
326,22.4596,14.1413,2.2126
327,22.5285,16.5854,3.4224
328,22.5974,16.164,3.1277
329,22.6663,17.1498,3.0893
330,22.7352,16.6972,3.7133
331,22.8041,14.0512,3.649
332,22.873,15.4165,4.0569
333,22.9419,17.611,3.1483
334,23.0108,20.7301,3.197
335,23.0797,18.9944,2.3214
336,23.1486,13.9838,2.4527
337,23.2174,13.2488,2.0913
338,23.2863,9.6648,2.1748
339,23.3552,11.4314,1.7713
340,23.4241,14.365,2.0722
341,23.493,12.0469,1.6628
342,23.5619,14.7205,2.3938
343,23.6308,12.4106,1.795
344,23.6997,13.4982,2.5974
345,23.7686,12.2216,3.1878
346,23.8375,11.559,2.3676
347,23.9064,11.9016,2.1428
348,23.9753,14.7427,2.0792
349,24.0442,9.1595,1.5279
350,24.1131,7.2927,1.6366
351,24.182,7.5003,1.4935
352,24.2509,6.666,1.4836
353,24.3198,6.9737,1.7339
354,24.3887,8.7669,1.948
355,24.4575,10.1176,1.8896
356,24.5264,9.4432,2.1697
357,24.5953,7.1597,1.6069
358,24.6642,6.0613,1.4001
359,24.7331,4.8987,1.6064
360,24.802,6.7126,1.2545
361,24.8709,6.1768,1.0889
362,24.9398,6.6382,1.2804
363,25.0087,8.1674,1.3967
364,25.0776,6.7056,0.7561
365,25.1465,7.3426,0.9583
366,25.2154,6.8333,1.1893
367,25.2843,4.9703,1.7913
368,25.3532,5.0451,1.9597
369,25.4221,5.2595,1.7228
370,25.491,5.7629,2.3598
371,25.5599,6.8682,2.8006
372,25.6288,7.4969,2.6096
373,25.6976,7.9824,3.2571
374,25.7665,10.3428,3.3406
375,25.8354,11.4031,2.8693
376,25.9043,11.3997,1.8744
377,25.9732,8.0957,2.2291
378,26.0421,8.3726,1.9529
379,26.111,9.0475,2.8343
380,26.1799,6.5172,2.1815
381,26.2488,6.7591,2.1492
382,26.3177,7.1647,2.1703
383,26.3866,4.7822,2.1697
384,26.4555,4.7286,1.8433
385,26.5244,5.6445,2.0411
386,26.5933,7.148,3.1602
387,26.6622,7.6482,2.4541
388,26.7311,5.4495,2.8054
389,26.8,4.3276,3.4175
390,26.8689,6.4348,2.1828
391,26.9377,5.1013,2.3886
